aspect term	polarity	text	category
;battery	 neutral	The battery doesn't last long but I'm sure an upgrade battery would solve that problem.	 battery
;battery	 positive	I don't use my laptop in a way though that needs a long battery life so it's perfect for me.	 battery
;machine;speed;capacity;build	 positive positive positive positive	Most everything is fine with this machine: speed, capacity, build.	 laptop laptop harddisk laptop
;screen	 negative	The only thing I don't understand is that the resolution of the screen isn't high enough for some pages, such as Yahoo!Mail.	 display
;null;null	 positive positive	I bought it for really cheap also and it's AMAZING.	 price laptop
;null	 positive	Recommended to people as their first laptop.	 laptop
;null	 positive	Plain and simple, it(laptop) runs great and loads fast.	 laptop
;null;printers;headsets	 positive positive positive	Easy to carry, can be taken anywhere, can be hooked up to printers,headsets.	 weight laptop laptop
;null;null	 positive positive	I'm already hooked on the sleek look and dependability that this laptop has shown.	 laptop laptop
;os	 neutral	Being a PC user my whole life, it's taking a bit of time to adapt to the OS of a Mac but I'm finding my way around.	 os
;design;null	 positive positive	The unibody design is edgy and durable.	 laptop laptop
;led backlit display	 positive	The LED backlit display makes my pictures pop so much more.	 display
;mousepad;null	 positive positive	I'm learning the finger options for the mousepad that allow for quicker browsing of web pages.	 mouse laptop
;art aspect	 positive	A key contributor that led me to Mac is the art aspect.	 laptop
;software	 positive	They have developed excellent proprietary software for editing video and pictures and I'm looking forward to utilizing these tools on the regular.	 software
;null;null	 positive positive	I'm excited to learn more about what this powerful machine has to offer and encourage others to do the same.	 laptop laptop
;null;null	 negative positive	It's more expensive but well worth it in the long run.	 price laptop
;product;null;graphics	 positive positive positive	Great product, very easy to use and great graphics.	 laptop laptop graphics
;keys	 negative	One drawback, I wish the keys were backlit.	 keyboard
;null;null	 positive neutral	I'm glad I bought this laptop, it was worth the few ($100) extra dollars.	 laptop price
;desktop machine;desktop machine	 positive positive	It had most of the features and all of the power that I wanted to replace my desktop machine.	 laptop laptop
;null;null	 neutral positive	I wasn't really as concerned about portability (it's a very large laptop) but it's not hard to move around or take on a trip which was a pleasant surprise.	 laptop weight
;null	 positive	I'm very happy with this machine!	 laptop
;size;keyboard;functions	 positive positive positive	I love the size, keyboard, the functions.	 laptop keyboard laptop
;null	 positive	I don't really have a complaint.	 laptop
;use;quality;price	 positive positive positive	It is easy to use, good quality and good price.	 laptop laptop price
;null	 positive	Perfect trifecta!	 laptop
;product	 positive	I would recommend this product.	 laptop
;software;null	 negative negative	The salesman talked us into this computer away from another we were looking at and we have had nothing but problems with software problems and just not happy with it.	 software laptop
;customer service	 neutral	This is my first Dell I heard their customer service was lacking and that they were working on improving it!	 service
;dvd burner	 negative	The DVD burner broke after burning 3 DVD'd during that time!	 hardware
;replacement part	 negative	They sent me a replacement part and without informing me are requiring that I return it within 15 days or contact them and let them know the broken part will be returned later.	 service
;customer service	 negative	If this is an improvement in Customer Service then I would hate too see what it was before!	 service
;null	 negative	I spoke to 4 different people and was told they needed to transfer me to a 5th person!	 service
;null	 negative	Needless to say I told them No and have a nice day and hung up!	 service
;null;dell	 negative negative	I can guarantee this will be the last Dell I will ever purchase!	 laptop laptop
;null;null	 negative negative	Breaking within 1 year of purchase and speaking to 4+ people to report the damaged part will be returned late!	 laptop service
;company	 negative	I do not recommend this company or their products!!!!	 laptop
;product	 positive	So far, a great product.	 laptop
;price	 negative	High price tag, however.	 price
;use	 neutral	Still trying to learn how to use it.	 laptop
;null	 negative	it is the worst computer dell ever made.	 laptop
;null;null	 negative negative	it is hard to fix and makes it a hassle to own one.	 laptop laptop
;null	 negative	breaks easily.	 laptop
;graphics	 positive	only good thing is the graphics quality.	 graphics
;features;benefits	 positive positive	There are so many wonderful features and benefits to the new MacBook!	 laptop laptop
;viruses	 positive	No Viruses!	 laptop
;null;null	 positive positive	This laptop is fast and you will literally learn all you can do with this dynamo by just watching the online tutorials.	 laptop laptop
;apple	 positive	I am loyal to Apple.	 laptop
;null	 positive	I am very Happy!	 laptop
;hard drive	 negative	This just keeps having it's hard drive replaced!	 harddisk
;null	 negative	Acer won't replace the laptop.	 service
;warranty	 negative	the manufacturer's warranty only covers replacement/repair of parts.	 service
;null	 negative	This thing is a lemon.	 laptop
;macbook	 positive	This MacBook is an outstanding product with great value.	 laptop
;use;service	 positive positive	Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.	 laptop service
;battery;speed	 positive positive	Suffice it to say, my MacBook Pro keeps me going with its long battery life and blazing speed.	 battery laptop
;null	 neutral	It does run a little warm but that is a negligible concern.	 laptop
;null;null	 negative negative	I have had nothing but problems since the day I took it out of the box!	 laptop laptop
;norton firewall/security program	 negative	My first problem was with the pre-loaded Norton Firewall/Security program.	 software
;wifi	 negative	It would not let me connect to my Wifi system where I lived.	 laptop
;tech support	 negative	It took Toshiba tech support 4 calls and 4 different techs to correct the problem.	 service
;mouse	 negative	"Then just the other day, my left ""mouse"" button snapped!"	 mouse
;null	 negative	Being only 2 months old, I am not a happy camper!	 laptop
;buyer	 negative	Buyer Beware.	 laptop
;null	 negative	this one, in my opinion, might be a lemon!	 laptop
;null;null	 negative negative	It rarely works and when it does it's incredibly slow.	 laptop laptop
;null	 negative	I have had to take it to the geek squad guys to get it fixed because it has had viruses 3 times and i have not even had it for more then 4 months!	 laptop
;null	 negative	*IF YOU ARE LOOKING FOR A GOOD LAPTOP, THIS IS NOT IT!	 laptop
;price;operation	 positive positive	Like the price and operation.	 price laptop
;features;volume wheel;sound quality	 negative negative negative	Some features arent friendly ( volume wheel, sound quality, etc.	 laptop laptop laptop
;null;cost	 positive neutral	But, for the cost this is a winner.	 laptop price
;null	 positive	I absolutely love my mac!	 laptop
;null	 positive	I can't imagine my life without it anymore!	 laptop
;null;usb port	 positive negative	I've haven't had any major problems with the laptop except that the plastic piece that covers the usb port wires have all come off.	 laptop hardware
;null	 negative	Apparently they are defective since they are not securely attached.	 hardware
;usb devices	 negative	I can barely use any usb devices because they will not stay connected properly.	 laptop
;null	 negative	I called Toshiba and they want me to be without my laptop for about two weeks while they look at the problem.	 service
;null	 negative	I think I might rather suffer for something that is simple to fix in my opinion.	 service
;null	 negative	I bought this laptop Was the worst Laptop I've ever bought.	 laptop
;money;product	 negative negative	I spent alot of money on this product and its been a nightmare.	 price laptop
;company	 negative	And having to deal with the company has been a even worse nightmare.	 service
;null	 negative	They sent it back with a huge crack in it and it still didn't work.	 service
;null	 negative	And that was the fourth time ive sent it to them to get fixed.	 service
;null	 negative	Its been a year and am still waiting to see what there going to do about my laptop.	 service
;toshiba	 negative	So if anyones looking to buy a computer or laptop you should stay far far away from any that have the name TOSHIBA on it...	 laptop
;null	 positive	I saved for this laptop for 3 months and I can tell you personally it was worth the wait.	 laptop
;display;battery	 positive positive	The display on this computer is the best I've seen in a very long time, the battery life is very long and very convienent.	 display battery
;null;null	 negative positive	A little pricey but it is well, well worth it.	 price laptop
;null	 positive	It is amazing.	 laptop
;hardrive	 negative	In the first moth of owning this computer its hardrive failed which had to be replaced.	 harddisk
;battery;battery	 negative negative	After replacing the hard drive the battery stopped working  (3 months of use) which was frustrating.	 battery battery
;charger;charger;hardware	 negative negative negative	Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.	 hardware hardware hardware
;null;null	 negative negative	A tip for people looking into this computer: DO NOT BUY IT save up a bit more money and buy a computer that will last.	 laptop laptop
;battery	 positive	Has a 5-6 hour battery life.	 battery
;use;lightweight	 positive positive	It is easy to use and lightweight.	 laptop laptop
;null;price	 positive positive	Was very much worth the price i paid.	 laptop price
;null	 negative	This netbook went bad on me after 3 days.	 laptop
;screen	 negative	There is a blank lighted screen when I start and that is all.	 display
;screen;screen	 negative negative	Three weeks after I bought the netbook, the screen quit working.	 display display
;null	 negative	I baby my electronics so I know for a fact it was defective and not anything that I did to it.	 display
;quality;performance;battery	 negative negative positive	Overall I feel this netbook was poor quality, had poor performance, although it did have great battery life when it did work.	 laptop laptop battery
;null;null;null	 positive positive positive	Took the netbook on a vacation trip and I was able to do whatever I wanted to do without lugging a much heavier laptop.	 weight laptop laptop
;null;null	 negative negative	The So called laptop Runs to Slow and I hate it!	 laptop laptop
;buy	 negative	Do not  buy it!	 laptop
;null	 negative	It is the worst laptop ever	 laptop
;image;soud	 positive positive	The image is great, and the soud is excelent.	 display laptop
;null	 positive	i love ths notebook.	 laptop
;touchpad	 positive	I love the glass touchpad.	 mouse
;null	 positive	Easy learning curve.	 laptop
;display	 positive	Also the display is exceptional!	 display
;null	 positive	I have loved this since i took it out of the box.	 laptop
;battery	 positive	The battery is really long.	 battery
;features;speakers	 positive negative	the features are great, the only thing it needs is better speakers.	 laptop laptop
;weight	 positive	Small and light weight.	 laptop
;speakers;speakers	 negative negative	Speakers too small to be of any real use.	 laptop laptop
;keyboard;keyboard	 positive positive	Keyboard good sized and wasy to use.	 keyboard keyboard
;null	 positive	I like it!	 laptop
;null;null;null	 positive positive positive	Meets my needs perfectly and is light enough for this senior to carry without affecting my arthritis.	 laptop laptop weight
;product	 negative	Needless to say, not to happy with the product.	 laptop
;null	 positive	This is a great machine!	 laptop
;design;quality	 positive positive	The design is awesome, quality is unprecedented.	 laptop laptop
;null;null;price;performance	 positive positive positive positive	Apparently well-built and gorgeous to look at, the i5 MacBook Pro is a winning combination of price and performance.	 laptop laptop price laptop
;null	 positive	It is by far one of the greatest investments I have ever made.	 laptop
;null;price	 positive positive	Am very glad I bought it, great netbook, low price.	 laptop price
;quality	 positive	Very good quality and well made.	 laptop
;null;null	 positive positive	Great pick for portability and affordability.	 weight price
;appearances	 positive	The black model also has a very nice seamless appearance - one of the better looking notebooks I've seen.	 laptop
;screen;null	 negative positive	The only problem is a lack of screen resolutions!	 display laptop
;null;null	 positive positive	If you need an affordable, entry-level laptop, this will fit the bill.	 price laptop
;weight;size	 negative negative	I dislike the weight and size, cubersome.	 weight laptop
;quality;speakers	 negative negative	I dislike the quality and the placement of the speakers.	 laptop laptop
;null	 neutral	Overall, it's ok.	 laptop
;null	 negative	"Laptop is advertised as a 15"" but the casing looks like that of a 17""."	 laptop
;null;null	 negative negative	This laptop is very large and barely fits in any carrying cases.	 laptop weight
;peformance;price	 positive neutral	Peformance is good for the price.	 laptop price
;null;null	 negative positive	If you're not wanting to be mobile, this is a good laptop to sit on a desk.	 weight laptop
;null	 negative	Had to have this computer repaired twice in the first 5 months after purchasing it.	 laptop
;null	 negative	Not good for a person who gets online daily.	 laptop
;null	 neutral	May be better for the occasional web surfer.	 laptop
;null	 positive	I just got this laptop for college, and so far I am very happy with it.	 laptop
;use	 positive	It is so much easier to use	 laptop
;keyboard;battery;hard drive;windows 7	 positive positive positive positive	Good keyboard, long battery life, largest hard drive and windows 7.	 keyboard battery harddisk os
;toshiba	 positive	And Toshiba is a quality supplier.	 laptop
;null	 positive	I love this little one.	 laptop
;keyboard	 positive	The keyboard has a wonderful nature feel.	 keyboard
;battery	 positive	great battery life.	 battery
;keyboard	 positive	Keyboard is reasonable size.	 keyboard
;screen;null	 negative positive	Small screen somewhat limiting but great for travel.	 display weight
;charger	 negative	Charger seems large for this class of computer.	 hardware
;null;price;null	 positive neutral positive	Great Laptop for the price, works well with action pack games.	 laptop price laptop
;key broad;key broad	 negative negative	The only thing that I have, is the key broad is a little dark to see the letters, would help if it was a little lighter then it is.	 keyboard keyboard
;product	 positive	but other then that I would give this product a 4 in hafe stars.	 laptop
;null	 positive	Good for every day computing and web browsing.	 laptop
;null	 positive	A great computer for light home use and business use.	 laptop
;null	 neutral	Might not make the avid gamer happy but I don't really think that is what this computer is designed for.	 laptop
;screen;battery life;storage	 positive positive positive	Crisp screen, great battery life, and plenty of storage.	 display battery harddisk
;null	 positive	Very happy.	 laptop
;computers;computers	 positive positive	He loves it and it is easy to use and well the schools start teaching the kids early about computers so it was easy for him to get started.	 laptop laptop
;null	 positive	I would recomend this acer to parents and grandparents it can really help them in school.	 laptop
;product key	 negative	MY ONLY PROBLEM IS I CAN NOT REG. THE PRODUCT KEY.	 laptop
;null	 negative	IT WANT TAKE IT, IT KEEP SAYING ERROR.	 laptop
;null	 positive	HELP, HELP, OTHER THAN THAT GETS A GREAT LITTLE WONDER.	 laptop
;null;battery	 positive positive	It's fast and has excellent battery life.	 laptop battery
;screen	 positive	The screen shows great colors.	 display
;performance;quality	 positive positive	I was surprised with the performance and quality of this HP Laptop.	 laptop laptop
;speed	 positive	the speed is fine.	 laptop
;screen;null	 positive positive	But with A WAY Bigger Screen, and IS able to connect to an HDMI.	 display laptop
;null	 positive	Love it.	 laptop
;null;battery	 positive positive	I would recommend this computer to anyone searching for the perfect laptop, and the battery life is amazing.	 laptop battery
;lap top	 negative	I BOUGHT THIS LAP TOP AND THE CHARGE TIME DOSEN'T LAST AS LONG AS THEY SAY IT WILL MORE LIKE 2 HOURS	 battery
;null	 positive	This computer is the ideal college companion.	 laptop
;speed;software	 positive positive	It's software and speed enable it to do amazing things.	 laptop software
;product	 negative	I am not happy at all with the product I purchased.	 laptop
;price;product	 neutral negative	"A cheaper price should not equal a ""cheap"" product."	 price laptop
;null	 negative	It was over rated!	 laptop
;null	 positive	The Toshiba laptop was a great purchase.	 laptop
;price;quality	 positive positive	The price was very good, and the product is top quality.	 price laptop
;delivery;null	 positive positive	The delivery was fast, and I would not hesitate to purchase this laptop again.	 laptop laptop
;features;null	 positive positive	It has easy to use features and all the speed and power I could ask for.	 laptop laptop
;quality;price	 positive positive	True quality at a great price!	 laptop price
;null;quality	 positive positive	I am enjoying it and the quality it provides is great!	 laptop laptop
;toshiba;null	 positive positive	Toshiba is a great brand, even though I haven't had it for a long time, I am very happy with it!	 laptop laptop
;screen	 positive	The screen graphics and clarity, and sharpness are great.	 display
;null	 positive	I've already recommended this laptop to a friend who eye'd the computer when I took it out of my bag.	 laptop
;null	 positive	I like the laptop overall.	 laptop
;touch pad	 negative	The only thing i can say is that the touch pad doesnt work like it should all the time.	 mouse
;pad;pad	 negative negative	Sometimes you really have to tap the pad to get it to work	 mouse mouse
;null;price	 positive neutral	This is a great little computer for the price.	 laptop price
;null;graphics	 positive positive	Simple to use, and great graphics.	 laptop graphics
;null	 positive	It has everything I would need for a home computer.	 laptop
;null	 positive	I'm very impressed.	 laptop
;null;null	 positive positive	It was secure and easy to navigate.	 laptop laptop
;null	 positive	It is everything that I would want in a computer.	 laptop
;look;null	 positive positive	Besides the great look, it is a great machine.	 laptop laptop
;apple	 positive	Once again apple stands alone at the top of the charts.	 laptop
;null	 positive	I enjoy very much my new Toshiba, purchased specifially for attending online schooling.	 laptop
;features	 positive	I have found it very easy to use, very imformative, wonder alerts and tutorials making it very easy for someone like me who is not exactly technologically advanced to learn to use the various features and programs.	 laptop
;null	 positive	I have found also, it is very easy to be able to access wireless internet access; without having to have extra equipment and/or complicated routes to take to be able to do so.	 laptop
;size;null;null	 positive positive positive	I also love the small, convenient size of my laptop, making it a perfect tool for my academic studies.	 laptop laptop laptop
;null	 positive	I am very pleased with my purchase!	 laptop
;null	 positive	This laptop serves all my needs.	 laptop
;screen;portable	 positive positive	Screen size is perfect for portable use in any environment.	 display weight
;price;null	 positive positive	Price and purpose is awesome!	 price laptop
;null	 positive	I have been very pleased with the performance of this laptop.	 laptop
;battery	 positive	The battery life seems to be very good, and have had no issues with it.	 battery
;product	 positive	Great product.	 laptop
;null	 positive	The laptop was very easy to set up.	 laptop
;null	 positive	Everything was so easy.	 laptop
;labtops	 positive	They were able to set-up with labtops themselves within a few minutes.	 laptop
;null;null	 positive positive	It works fine with our wireless and they've had not problems.	 laptop laptop
;product;price	 positive positive	It's a great product for a great price!	 laptop price
;null	 positive	Waited on getting this computer, but it has been a great change.	 laptop
;null	 positive	Ease of use is just one of the benefits I love about my Mac.	 laptop
;service	 positive	The service I received from Toshiba went above and beyond the call of duty.	 service
;performance;quality;null	 positive positive positive	My friend reports the notebook is astonishing in performance, picture quality, and ease of use.	 laptop display laptop
;portable;null	 positive positive	It is extremely portable and easily connects to WIFI at the library and elsewhere.	 weight laptop
;null	 positive	Just what the doctor ordered.	 laptop
;service;product	 positive positive	I cannot be happier with the service or product.	 service laptop
;power supply	 negative	power supply went bad after 2 weeks --	 hardware
;null	 negative	after much effort and 10 days ASUS replaced it	 service
;wifi	 negative	The WiFi is very weak.	 laptop
;null	 negative	Summary: Spend your money elsewhere	 laptop
;size;power;battery	 positive positive positive	This is a nicely sized laptop with lots of processing power and long battery life.	 laptop processor battery
;null	 positive	Love it so far.	 laptop
;net book	 positive	The Toshiba Net book operates very well.	 laptop
;windows 7	 negative	The only objection I have is that after you buy it the windows 7 system is a starter and charges for the upgrade.	 os
;null;null;null;null	 positive positive positive positive	I bought this netbook for traveling, and it's great - light, functional, and meets my needs.	 laptop laptop weight laptop
;touchpad;null	 negative positive	The touchpad is extremely sensitive, which is the only drawback.	 mouse laptop
;null	 positive	Otherwise, I love it!	 laptop
;null	 negative	I wasn't really sure I wanted to spend that kind of money!	 price
;null;null	 positive positive	It Was a great deal after all.	 laptop price
;null	 positive	I LOVE it!	 laptop
;null	 positive	I should have bought one a long time ago.	 laptop
;null	 neutral	Not enough time for me to give it 5 stars!	 laptop
;null	 positive	I've had the MacBook Pro 15 for about three weeks, and it really is a great computer.	 laptop
;windows	 neutral	I have only had PCs with Windows before so this takes a little getting use to.	 os
;keyboard;null	 positive positive	The real stand out on this computer is the feel of the keyboard and it's speed.	 keyboard laptop
;null;null	 positive positive	It is fast booting up , shutting down, and connection with the internet.	 laptop laptop
;manuel	 negative	The one thing I wish it had was a detailed hardcopy manuel.	 laptop
;manual	 neutral	I think the manual is somewhere on the hard drive, but I rather have a hard copy.	 laptop
;null	 positive	If what you need is a machine to do some surfing, email checking, word processing, and watching a movie or two, this is the machine you want.	 laptop
;null;null	 positive positive	It's priced very reasonable and works very well right out of the box.	 price laptop
;null;null;null	 positive positive positive	Nice and portable and definitely a decent enough system to keep you entertained while sitting in the airplane for a couple of hours, or at the hotel taking care of some last minute details and documents.	 laptop weight laptop
;resolution	 negative	the screen/video resolution won't increase to a higher resolution then 1024 x 60	 display
;screen	 neutral	That being said, it still runs video in full screen decently.	 display
;sound	 neutral	The sound is a bit quiet if you're on a plane, this can easily be overcome with a decent pair of head phones.	 laptop
;null	 positive	Bottom line, I doubt you'd be overly disappointed if you invest in this machine.	 laptop
;null;null	 neutral positive	Yes, I thought the expese was a little much, but I now realize you get what you pay for.	 price laptop
;apple;null;null	 positive positive positive	I love my Apple, it is quick and easy to use.	 laptop laptop laptop
;support	 positive	I've had to call Apple support to set up my new printer and have had wonderful experiences with helpful, english speaking (from Vancouver) techs that walked me through the processes to help me.	 service
;product;null	 positive positive	I can't say enough of how satisfied I am with their product and help aftermarket.	 laptop service
;null;null	 positive positive	Money and time well spent!	 laptop price
;null	 positive	Highly recommended!	 laptop
;price;null;product	 positive positive positive	"The 13"" Macbook Pro just fits in my budget and with free shipping and no tax to CA this is the best price we can get for a great product."	 price laptop laptop
;macbook;macbook	 positive positive	The Macbook arrived in a nice twin packing and sealed in the box, all the functions works great.	 laptop laptop
;speakers	 negative	Speakers doesn't sound that great.	 laptop
;null	 positive	Love the speed, especially!	 laptop
;null	 positive	So glad I decided to upgrade!	 laptop
;mouse	 negative	I've owned this labtop for less then two months, already the mouse button has broke.	 mouse
;null	 negative	Still under warrenty so called Toshiba, no help at all.	 service
;null	 negative	I'm stuck w/ a broken computer.	 laptop
;null;toshiba	 negative negative	Will not buy another Toshiba, this is my second, not happy w/ either.	 laptop laptop
;null;null;battery	 positive positive positive	I love its solid build, light wt and excellent battery life (for now).	 laptop laptop battery
;monitor;null	 positive positive	Excellent LED monitor and well equipped.	 display laptop
;apple	 positive	I love the Apple products.	 laptop
;notebook	 positive	The Toshiba Mini Notebook, Model NB 305-N410BL, is a great little computer.	 laptop
;keyboard;keyboard;null;null	 positive positive positive positive	It is easy to use, its keyboard easily accommodates large hands, and its weight is fantasic.	 keyboard keyboard laptop laptop
;null	 positive	Upgrading from Windows 7 Starter, thru Windows 7 Home Premium, to Windows 7 Professional was a snap;	 laptop
;null	 positive	both upgrades were quickly accomplished after purchasing the necessary Product Key.	 laptop
;null	 positive	Other installed features, such as certain printer software, are also most attractive.	 laptop
;null;customer services	 negative negative	Ever since I bought this laptop, so far I've experience nothing but constant break downs of the laptop and bad customer services I received over the phone with toshiba customer services hotlines.	 laptop service
;null;null	 negative negative	I constantly had to send my laptop in for services every 3 months and it always seems to be the same problem that they said they had already fixed.	 laptop service
;customer services	 negative	Toshiba customer services will indirectly deal with your problems by constantly tranferring you from one country to another, and I am not kidding you, I called different hours of the day and you'll get someone else from another country trying to get you to tell them your life story all over again, since they make it sound like they don't have your history list of your calls right in front of them.	 service
;null	 negative	It's a long and tirring process that after a while it seems like their game plan was to wear you out so you would want to give up on contacting them.	 service
;null	 negative	And at one point, they blame me for installing a bad memory stick when I upgrade my memory for the first time during my purchase of the laptop (I bought the memory stick they recomended).	 service
;null;null	 negative negative	Long story short, since I experience so many problems with my laptop every since I bought it from day one, I didn't ask for a new laptop or a refund of what I pay for a crapy laptop, but just an extension of my laptop warranty for another year, they made a big deal of out that and after so many calls and complaints about their products and services, they finally gave in.	 laptop service
;null;toshiba	 negative negative	Was this product worth my time and money to ever want to purchase another products that is toshiba or relating to toshiba?	 laptop laptop
;toshiba	 negative	I'll rather be out of date then spend more money on toshiba.	 laptop
;toshiba	 negative	Remember to do your research first before consider buying a toshiba product.	 laptop
;null	 positive	All I can say is W-O-W.	 laptop
;null	 positive	This laptop is insane!!!	 laptop
;null;keys	 positive positive	It's so nice to look at and the keys are easy to type with.	 laptop keyboard
;key pad	 positive	I bought a protector for my key pad and it works great :)	 keyboard
;null;null	 positive positive	This is definitely a computer worth the money;	 laptop price
;mouse;mouse	 neutral neutral	The mouse is a little bit different than what you're used to though- it has one big flat panel and one full bar (instead of two separate ones) to click with- but you get used to it quite quickly.	 mouse mouse
;null	 positive	AND the best part is that it even comes with a free printer (when they have a certain promotion/offer going, of course)!	 laptop
;null;null	 positive positive	Overall, this laptop is definitely a keeper with its simple yet stylish design and its array of fantastic colors to choose from.	 laptop laptop
;null	 positive	The Apple team also assists you very nicely when choosing which computer is right for you :)	 service
;macbook;macbook	 positive positive	Obviously, this Macbook is P-E-R-F-E-C-T for me because it does exactly what I need in an easy-to-function way.	 laptop laptop
;null	 positive	DEFINITELY recommended!!!	 laptop
;null;null	 positive neutral	Not a bad laptop, it's a bit slow, but gets the job done.	 laptop laptop
;screen;screen	 negative negative	The lcd screen stopped working on mine after 10 months.	 display display
;tech support	 negative	I could not find a phone number anywhere to call an actual live person for tech support and had to result the their online chat.	 service
;null	 negative	upon giving them the serial number the first thing I was told, was that it was out of warranty and I could pay to have it repaired even though I had the receipt in front of me proving it still had 2 months left on the warranty.	 service
;null	 negative	even though I had the receipt in front of me proving it still had 2 months left on the warranty.	 service
;support	 negative	Dealing with the support drone on the other end of the chat was sheer torture.	 service
;null	 negative	English must have been his third or fourth language.	 service
;null	 negative	His language was so bad I swore I was taking the turing test, and it was failing.	 service
;null	 negative	after trying to get some help he disconnected on me.	 service
;null	 negative	After 4 days, being denied 6 times and told off once, I managed to get through and was able to send them a scanned copy of the receipt.	 service
;null	 negative	Then they had me jump through many hoops and questions to see if they could find another way to invalidate me.	 service
;null	 negative	After they found no other way, they told me to courier it to them(since they don't allow the use of the post office) at my expense, and sent me a 4 page list of very specific packaging instructions to follow or it wouldn't be covered.	 service
;null	 negative	I managed to comply with these too and now have to wait and see if they can find another way to screw me.	 service
;service	 negative	They really do have the worlds very worst repair service.	 service
;null	 negative	This computer gets very hot, before shutting down.	 laptop
;null;null	 negative negative	It is not ideal for children because of the temp.	 laptop laptop
;null	 negative	I Contacted HP  about this situation and was given excuses, without results.	 service
;null	 negative	They didn't even try to assist me or even offer a replacement.	 service
;hp	 negative	I will never purchase a HP again ever.	 laptop
;apple	 positive	Let's just get this out of the way, I love Apple!	 laptop
;macbook	 positive	But the Macbook is the best!	 laptop
;null	 positive	It is super easy to use.	 laptop
;null;null	 positive positive	All you have to do is turn it on and it works.	 laptop laptop
;null	 positive	It is very durable, I am pretty rough when it comes to electronics and it has taken it all with no reprecutions yet.	 laptop
;null	 neutral	I don't do any high tech stuff on it, just write papers, check mail, and sometimes play games, so I can't reccomend it if you are in the computer field.	 laptop
;null	 positive	In the past four years I've had it I have never once gotten a virus.	 laptop
;battery;battery	 neutral positive	I did have to replace the battery once, but that was only a couple months ago and it's been working perfect ever since.	 battery battery
