Word	" ""Score"""
Al-hakim	0
Al_Alamayn	0
Al_Aqabah	0
Al_Capone	0
Al_Faran	0
Al_Gore	0
Al_Hirschfeld	0
Al_Jolson	0
Al_Ladhiqiyah	0
Al_Madinah	0
Al_Nathir	0
Al_Qahira	0
Al_Qanoon	0
Al_Tawhid	0
Alabama	0
Alabama_River	0
Alabama_lip_fern	0
Alabaman	0
Alabamian	0
Aladdin	0
Aladdin's_lamp	0
Alamo	0
Alan_Alexander_Milne	0
Alan_Bartlett_Shepard_Jr.	0
Alan_Hodgkin	0
Alan_Jay_Lerner	0
Alan_Lloyd_Hodgkin	0
Alan_Mathison_Turing	0
Alan_Paton	0
Alan_Seeger	0
Alan_Shepard	0
Alan_Stewart_Paton	0
Alan_Turing	0
Aland_islands	0
Alar	0
Alaric	0
Alaska	0
Alaska_Native	0
Alaska_Peninsula	0
Alaska_Range	0
Alaska_Standard_Time	0
Alaska_cedar	0
Alaska_cod	0
Alaska_crab	0
Alaska_fur_seal	0
Alaska_king_crab	0
Alaska_rein_orchid	0
Alaskan	0
Alaskan	0
Alaskan_Native	0
Alaskan_brown_bear	0
Alaskan_king_crab	0
Alaskan_malamute	0
Alaskan_pipeline	0
Alauda	0
Alauda_arvensis	0
Alaudidae	0
Alban_Berg	0
Albania	0
Albanian	0
Albanian	0
Albanian_capital	0
Albanian_monetary_unit	0
Albany	0
Albatrellus	0
Albatrellus_dispansus	0
Albatrellus_ovinus	0
Albee	0
Alben_Barkley	0
Alben_William_Barkley	0
Albers	0
Albers-Schonberg_disease	0
Albert	0
Albert_Abraham_Michelson	0
Albert_Bruce_Sabin	0
Albert_Camus	0
Albert_Edward	0
Albert_Einstein	0
Albert_Francis_Charles_Augustus_Emmanuel	0
Albert_Gore_Jr.	0
Albert_Michelson	0
Albert_Sabin	0
Albert_Schweitzer	0
Albert_Speer	0
Albert_Szent-Gyorgyi	0
Albert_von_Szent-Gyorgyi	0
Alberta	0
Alberti	0
Alberto_Giacometti	0
Albigenses	0
Albigensian	0
Albigensianism	0
Albino_Luciano	0
Albion	0
Albizia_julibrissin	0
Albizia_lebbeck	0
Albizia_saman	0
Albizzia_julibrissin	0
Albizzia_lebbeck	0
Alborg	0
Albrecht_Durer	0
Albrecht_Eusebius_Wenzel_von_Wallenstein	0
Albright's_disease	0
Albuginaceae	0
Albugo	0
Albula	0
Albula_vulpes	0
Albulidae	0
Albuquerque	0
Alca	0
Alca_torda	0
Alcaeus	0
Alcaic	0
Alcaic_verse	0
Alcea	0
Alcea_rosea	0
Alcedinidae	0
Alcedo	0
Alcedo_atthis	0
Alcelaphus	0
Alces	0
Alces_alces	0
Alcibiades	0
Alcidae	0
Alcides	0
Alcoholics_Anonymous	0
Alcott	0
Alcyonacea	0
Alcyonaria	0
Alcyone	0
Aldactone	0
Aldebaran	0
Aldomet	0
Aldous_Huxley	0
Aldous_Leonard_Huxley	0
Aldrovanda	0
Aldrovanda_vesiculosa	0
Alec_Guinness	0
Alectis	0
Alectis_ciliaris	0
Alecto	0
Alectoria	0
Alectoris	0
Alectoris_graeca	0
Alectoris_ruffa	0
Alectura	0
Alectura_lathami	0
Aleksandr_Aleksandrovich_Blok	0
Aleksandr_Borodin	0
Aleksandr_Feodorovich_Kerensky	0
Aleksandr_I._Solzhenitsyn	0
Aleksandr_Mikjailovich_Prokhorov	0
Aleksandr_Nikolayevich_Scriabin	0
Aleksandr_Pavlovich	0
Aleksandr_Porfirevich_Borodin	0
Aleksandr_Prokhorov	0
Aleksandr_Scriabin	0
Aleksandr_Sergeyevich_Pushkin	0
Aleksandr_Solzhenitsyn	0
Aleksey_Maksimovich_Peshkov	0
Aleksey_Maximovich_Peshkov	0
Alep	0
Alepisaurus	0
Aleppo	0
Aleppo_boil	0
Aleppo_grass	0
Alessandro_Farnese	0
Alessandro_Manzoni	0
Alessandro_di_Mariano_dei_Filipepi	0
Aletris	0
Aletris_aurea	0
Aletris_farinosa	0
Aletta_Jacobs	0
Aleuria_aurantia	0
Aleurites	0
Aleurites_fordii	0
Aleurites_moluccana	0
Aleut	0
Aleutian	0
Aleutian	0
Aleutian_Islands	0
Aleutians	0
Aleve	0
Alex_Boncayao_Brigade	0
Alex_Haley	0
Alexander	0
Alexander_Alexandrovich_Blok	0
Alexander_Archipelago	0
Alexander_Bell	0
Alexander_Calder	0
Alexander_Fleming	0
Alexander_Graham_Bell	0
Alexander_Hamilton	0
Alexander_I	0
Alexander_II	0
Alexander_III	0
Alexander_Isayevich_Solzhenitsyn	0
Alexander_Melville_Bell	0
Alexander_Pope	0
Alexander_Pushkin	0
Alexander_Selcraig	0
Alexander_Selkirk	0
Alexander_VI	0
Alexander_Wilson	0
Alexander_Woollcott	0
Alexander_the_Great	0
Alexander_the_Liberator	0
Alexanders	0
Alexandre_Dumas	0
Alexandre_Emile_Jean_Yersin	0
Alexandre_Gustave_Eiffel	0
Alexandre_Yersin	0
Alexandria	0
Alexandria_senna	0
Alexandrian	0
Alexandrian	0
Alexandrian_laurel	0
Alexandrian_senna	0
Alexandrine	0
Alexis_Carrel	0
Alexis_Charles_Henri_Maurice_de_Tocqueville	0
Alexis_de_Tocqueville	0
Aleyrodes	0
Aleyrodidae	0
Alfonso_Borgia	0
Alfred	0
Alfred_Alistair_Cooke	0
Alfred_Bernhard_Nobel	0
Alfred_Binet	0
Alfred_Charles_Kinsey	0
Alfred_Charles_William_Harmsworth	0
Alfred_Damon_Runyon	0
Alfred_Dreyfus	0
Alfred_Edward_Housman	0
Alfred_Edward_Woodley_Mason	0
Alfred_Eisenstaedt	0
Alfred_Habdank_Skarbek_Korzybski	0
Alfred_Hawthorne	0
Alfred_Hitchcock	0
Alfred_Joseph_Hitchcock	0
Alfred_Kastler	0
Alfred_Korzybski	0
Alfred_Kroeber	0
Alfred_Krupp	0
Alfred_Lord_Tennyson	0
Alfred_Lothar_Wegener	0
Alfred_Louis_Kroeber	0
Alfred_Lunt	0
Alfred_Nobel	0
Alfred_North_Whitehead	0
Alfred_Noyes	0
Alfred_Russel_Wallace	0
Alfred_Stieglitz	0
Alfred_Tennyson	0
Alfred_Thayer_Mahan	0
Alfred_de_Musset	0
Alfred_the_Great	0
Alger	0
Algeria	0
Algerian	0
Algerian	0
Algerian_capital	0
Algerian_centime	0
Algerian_dinar	0
Algerian_monetary_unit	0
Algerie	0
Algeripithecus	0
Algeripithecus_minutus	0
Algernon_Charles_Swinburne	0
Algiers	0
Algol	0
Algonkian	0
Algonkian	0
Algonkin	0
Algonquian	0
Algonquian	0
Algonquian_language	0
Algonquin	0
Algonquin	0
Algren	0
Alhacen	0
Alhambra	0
Alhazen	0
Ali	0
Ali_Baba	0
Alice-Josephine_Pons	0
Alice_B._Toklas	0
Alice_Hamilton	0
Alice_Malsenior_Walker	0
Alice_Paul	0
Alice_Walker	0
Alicia_Alonso	0
Alisma	0
Alisma_plantago-aquatica	0
Alismales	0
Alismataceae	0
Alismatidae	0
Alistair_Cooke	0
Alka-seltzer	0
Alkeran	0
All_Fools'_day	0
All_Saints'_Day	0
All_Souls'_Day	0
Alla_Nazimova	0
Allah	0
Allamanda_cathartica	0
Alleghany_plum	0
Alleghenies	0
Allegheny	0
Allegheny_Mountains	0
Allegheny_River	0
Allegheny_chinkapin	0
Allegheny_mountain_spurge	0
Allegheny_plum	0
Allegheny_spurge	0
Allegheny_vine	0
Allen	0
Allen_Ginsberg	0
Allen_Stewart_Konigsberg	0
Allen_Tate	0
Allen_screw	0
Allen_wrench	0
Allentown	0
Allhallows	0
Allhallows_Eve	0
Allhallowtide	0
Alliaceae	0
Alliaria	0
Alliaria_officinalis	0
Allied	0
Allied_Command_Atlantic	0
Allied_Command_Europe	0
Allies	-0.95136
Alligator_mississipiensis	0
Alligator_sinensis	0
Alligatoridae	0
Allionia	0
Allionia_incarnata	0
Allioniaceae	0
Allium	0
Allium_acuminatum	0
