aspect term	category	polarity	text
;hotel lungarno	 hotel	 positive	I struck gold with the Hotel Lungarno.
;views	 rooms	 positive	But the main thing about the room was the views - WOW!
;room	 rooms	 positive	The room was a reasonable size, and the bathroom was quite large compared to our other stays.
;hotel	 cleanliness	 positive	Although older, the hotel provided a clean and comfortable place to stay for our visit -- a one-night stay going over and several nights coming back from Australia.
;null	 service	 neutral	It was fine.
;housekeeping	 service	 negative	The every morning at 8:00 AM housekeeping would knock.
;room;toblerones	 rooms service	 positive positive	The room we stayed in was large and airy and i loved coming back to the room each night to find the bed turned down and two mini toblerones on each pillow.
;null	 rooms	 positive	I thought it was a VERY quite hotel, but again we stayed on the 19th Floor.
;null	 service	 negative	They lost my reservation
;rate	 value	 positive	We got a great rate that was advertised on Travelzoo.
;place;waiter	 hotel service	 positive positive	It is a perfect place to relax with a good book or have a nap.The waiter is always roaming around, so drinks are easy to get.There is a hut nearby where you can get massages, which both me and my wife took advantage of and enjoyed greatly.- Staff and service.
;null;price	 building value	 positive positive	Three other couples travelled with us and everyone found the hotel enchanting - and the price modest.
;resort;staff	 hotel service	 positive positive	I can't imagine a more beautiful resort or more helpful staff.
;null	 rooms	 positive	The famous one on Nob Hill doesn't even offer that!
;carpets/fixtures	 rooms	 negative	I did notice this last time that some of the carpets/fixtures in the room were showing their age but when the price, location and staff are this welcoming, who could argue?
;null	 food	 negative	The bartender just adds liquor to it and here you go.
;oceanview	 rooms	 neutral	We were in Block 6 (Elite Club section) and were treated to an oceanview room on the first floor.
;pricey	 value	 neutral	Pricey but worth it!
;deluxe room	 rooms	 negative	I am now staying in the hotel and I have a lot of dissatisfaction about the hotel.I am living in the deluxe room and it is facing to the office directly.
;grand hyatt	 hotel	 positive	My husband and I just stayed at the Grand Hyatt and loved it.
;bed	 rooms	 negative	The bed felt broken down and not anywhere near as comfortable as a Westin or Hilton bed.
;bathroom	 rooms	 positive	The bathroom was amazing.
;glass;sushi	 food food	 neutral neutral	Right off the bat, ours got so carried away and the salt shaker smashed into my water glass spraying shards in my sushi.
;parking	 value	 negative	There are some cons about this hotel - REMEMBER - if you drive down your parking is NOT FREE!
;located	 location	 positive	It is an ideally located hotel as we got off great airport express to Alexanderplatz, came out the station at the foot of the hotel.
;breakfast buffet	 food	 positive	The breakfast buffet was the best that we had during our trip--and we were in 8 different hotels during our stay.
;location;null;noise	 location value rooms	 positive negative negative	Although the location is great, not much has been done to insulate the rooms from the noise of nearby union square.I paid just under $200/night for this hotel.
;room;paint;mold;patio door;cushions;day bed	 rooms rooms rooms rooms rooms rooms	 negative negative negative negative negative negative	Though we were quite pleased with the room, it did show some wear... peeling paint, a few mold spots near the patio door, and more mold on a few of the cushions on the day bed.
;location;macpherson subway station	 location location	 negative negative	The location is a little more than a block to the MacPherson subway station.
;hotel	 hotel	 positive	Best Hotel I've Stayed
;buffet breakfast;null	 food value	 negative neutral	Beware - If paying the buffet breakfast was poor value, Ok for cereals and fruit,poor quality cooked breakfast.
;photos	 hotel	 positive	I've don't have any photos but I would say that the hotel web site photos do not do this Hotel justice.
;null;room	 business rooms	 positive positive	We both work in the fashion industry and would be bringing clients back to the hotel so we needed somewhere that would impress - and it certainly did.Because the hotel is newish, we managed to get quite a good rate on the room.
;null	 hotel	 positive	ll stay at ?
;prices;drinks;room service	 value value service	 negative negative negative	no room service and prices for drinks were doubled in price.
;null	 food	 negative	This is mostly where the Majestic loses 1 star.
;water	 hotel	 positive	The hotel gives you two complimentary bottles of water in your room.
;null	 hotel	 negative	I have also stayed at the Sheraton LAX and it was better.
;weather	 hotel	 negative	Additionally, with the weather being cool, we didn't have any issues with the lack of air conditioning, which I could foresee as a problem in the heat.
;location;breakfast;staff members	 location food service	 positive positive positive	Good location between Times Square and Central Park, Blue line station on 50th and 8th, walk to theaters, plus hot and cold breakfast with 2 staff members in the dining area.
;null	 hotel	 positive	Entertainment was provided by the Gondoliers based at the Gondola station right outside the notel, their banter is wonderful to watch.
;null	 hotel	 negative	Unfortunately, we were not very pleased.
;house-keeping;reception	 service service	 positive positive	From house-keeping to reception, they were extremely friendly, professional, and concerned for our well-being.
;null	 hotel	 neutral	Go figure.
;bedroom	 rooms	 negative	I booked a one bedroom (bedroom) being a key word there) Suite....It was not a suite by any defiinition.
;hotel	 hotel	 positive	This is exactly what a dream hotel stay should be.
;null	 hotel	 negative	Stay Away....Far Away
;toiletries	 cleanliness	 negative	I did not like the toiletries that came with the hotel however.
;bed	 rooms	 positive	The bed was comfortable.
;breakfast;staff	 food service	 positive positive	The complimentary breakfast is great, and the staff in there is warm accomodating.
;null	 hotel	 neutral	I booked my room on priceline for $55.00 per night (plus I had a free upgrade coupon to the club floor).
;null	 hotel	 positive	We also all raved about the place and were mad we hadn't left more time to enjoy it.
;food	 food	 negative	If you like to each the same food all the time....go for it.
;yum cha	 location	 positive	It's a short stroll to the best yum cha in Australia.
;null	 service	 negative	I made a reservation to stay here in August 2007 and just got charged for the night I canceled.
;front lobby;imacs;internet	 building service service	 positive positive positive	But best of all in her opinion were the iMacs and free internet access on every other floor, with the Starbucks leading off the front lobby a close second.
;null;null;null	 building location rooms	 negative positive positive	Small supermarket and patisserie literally a minute from hotelOn a quiet, narrow street, the hotel is small but quiet.
;null	 cleanliness	 positive	Spotlessly clean.
;null	 rooms	 negative	It had one.
;towels	 rooms	 positive	Load of fresh fluffy towels.
;null	 service	 negative	My husband actually got up once, walked to the soda fountain, glasses in hand, and refilled our sodas... and the workers who saw him do that said nothing.
;controls	 rooms	 negative	Room was ok, but I couldn't change the controls.
;resort;international airport;isla verde;transportation	 hotel location location location	 negative negative negative negative	First, the resort is about an hour from the international airport in Isla Verde and transportation is not included to and from the hotel ($120 round trip for 2 adults).
;check-in	 checkin	 positive	The check-in is amazingly quick and can be done without talking to anyone, if you choose.
;null	 value	 positive	If you're picking between this and something a little cheaper, this is WELL worth what we spent...we'll go back!
;null;housecleaning staff	 cleanliness service	 positive positive	The housecleaning staff was very attentive and always turned down the room before we got back in the evenings.
;breakfast	 food	 positive	for breakfast wich was really very nice.
;front desk	 service	 negative	Our only complaints concerned the front desk.
;room;bathroom;shower cabin	 rooms rooms rooms	 positive positive positive	We loved our little street-facing room (the very good windows kept the noise outside) even though it was on the small side, as well as the bathroom and the shower cabin (overweight people will have problems to take a shower in there!)
;hotel	 service	 negative	For a hotel which is aspiring to great things this attitude is something fundamental which needs to be addressed.
;breakfast	 food	 positive	Breakfast is a buffet continental repast--the room gets crowded but the food is quite fresh.
;check-in	 checkin	 positive	We were able to check-in at 10:30am when we arrived and later in the afternoon received our complimentary snack and drink.
;null	 hotel	 neutral	Yes.It is very trendy.
;traveller	 hotel	 negative	Two very dissapointed world traveller.
;null;staff	 building service	 negative positive	The hotel itself is small and older but the staff makes up for it.
;pool;bar area;hammock;beach	 hotel hotel hotel hotel	 positive positive positive positive	The pool, bar area, hammock grove and beach access were great.
;beach resort	 hotel	 positive	Lots of fun Me and my girlfriend just returned from the bravelo beach resort in Punta Cana, and we were overall very satisfied.
;clean;rooms	 cleanliness rooms	 positive positive	Rooms were clean and comfortable.
;room	 rooms	 positive	Our room was beautiful and spacious and if you can afford it, I highly recommend the bigger room when staying with children.
;hotel;null	 building hotel	 positive negative	Yes, this is a beautiful hotel, but aside from that there is nothing.
;front desk	 service	 positive	Hector at the front desk was great.
;tourist card;departure tax	 value value	 neutral neutral	The tourist card ($10 on entry) and departure tax ($20) was included in the WestJet vacation package.
;hotel	 hotel	 neutral	Wonderful hotel but bring your ear plugs
;null	 rooms	 positive	Everything you need right there.
;null	 hotel	 neutral	My husband and I stayed at the Sofitel New York August 4th-6th.
;birds	 hotel	 negative	The only thing that I didn't like was the birds that walked freely around the resturant.
;lunch buffet	 food	 negative	Lunch Buffet - not enough selection.
;elevator;staff	 building service	 negative positive	The staff are extremely friendly and helpfull, ready to help with anything, especially your bags, there is no elevator (heritage building).
;buffet	 food	 positive	But the buffet was delicious and diverse enough to keep our palettes satisfied!-
;supreme;buffet restaurants	 food food	 neutral neutral	We went to the Supreme, one of the resort's buffet restaurants.
;hotel	 hotel	 positive	Anyone visiting this hotel is sure to have an amazing time, we are going back with friends in October!Enjoy your trip and have a Banana Mama for me!
;loungers	 building	 negative	The setting and pool are gorgous, but as others have said there are nowhere near enough loungers, so people were lying on the floor - not what you expect from a 5 star hotel.
;hotel;location	 hotel location	 positive positive	Beautiful Stay Wonderful hotel, excellent location!
;location;staff	 location service	 positive positive	Great location, fantastic staff
;dallas	 hotel	 negative	The only downside (or upside depending on how you look at it) is: This isn't a trendy hotel, like some in Dallas.
;null	 hotel	 negative	not as friendly as these posts elude
;concierge	 service	 negative	We asked the concierge if she had a map of Reagan Airports layout and she replied no.
;bavaro safari	 hotel	 positive	The Bavaro safari runner trip into the countryside will open your eyes as to how good you have it.
;downtown area	 location	 neutral	It is far from the downtown area but not too difficult to get there as long as you aren't expecting a 5 minute trip.
;punta cana	 hotel	 positive	I have been to Punta Cana before and stayed at a Riu resort which was nice but I liked this much better.
;frappucinos	 food	 positive	They have fantastic frappucinos - topped with whipped cream and drizzled in chocolate sauce...mmmm!
;null	 building	 negative	The TV was really high up and awkward to see.
;bathrooms	 rooms	 positive	Bathrooms were good.
;null	 hotel	 neutral	That was pretty fun.
;countertop;bar stools;refrigerators;sink/countertop	 rooms rooms rooms rooms	 positive positive positive positive	It had a marble countertop, two cushioned bar stools w/ backs, two refrigerators under the sink/countertop.
;reception	 checkin	 negative	But, they seem to have only one person on reception and one on bell duty at any given time, including prime check-in/check-out times.
;staff	 service	 positive	This hotel had a knowledgeable, professional and friendly staff - their recommendations of a Chinese restaurant in nearby Chinatown or of a restaurant in close North Beach were spot-on when I made clear my price range and my expectations.
;breakfast;oj	 food food	 positive positive	Breakfast was good, especially the fresh-squeezed OJ.
;room bb	 value	 positive	The value was brillant- room BB per night was 99euro- a bargain.
;noise	 hotel	 negative	Too much noise from other ruede guests with no manner which came home between 4am and 5am in the morning and talked for one hour in front of their room.
;view	 hotel	 negative	Do not expect a excellent view, but you cant get it all.
;clean;rooms	 cleanliness rooms	 positive positive	I read some negative reviews on here before our visit regarding the rooms - all our rooms were clean, spacious (they accommodated an extra bed in double rooms to make things cheaper), the air conditioning worked and the windows opened.
;null	 hotel	 positive	Loved Princess Bavaro, but it is not for Americans
;clean;null	 cleanliness service	 positive positive	They work and work and work to make this resort clean and comfortable.
;hotel	 hotel	 positive	hotel not a disappointment
;null;staff	 building service	 negative negative	The place seemed a little run down and the staff was not friendly at all.
;deposit fee	 value	 neutral	There is a $20 deposit fee to use the safety box.
;room	 rooms	 negative	Besides this the room was on the very busy street side and there were roadworks going on during the night.
;null	 service	 neutral	Two of which were fine, one simply didn't do his job or meet our requests.
;null	 cleanliness	 positive	This is not exactly a tourist hotel but it is clean and comfortable.
;owners;receptionists	 checkin checkin	 positive positive	The owners and receptionists spoke English and were very, very nice and accommodating - helped us with directions and book reservations at museums, etc.
;null	 hotel	 positive	Such a great find....we will DEFINITELY be back.
;hotel;location	 hotel location	 positive positive	Great hotel, great location
;front desk	 checkin	 negative	When I approached the front desk, I was warmly greeted and notified that we were already pre-checked in; handed our room key; and offered some afternoon hot chocolate and fresh fruit in the lobby.
;people	 service	 positive	The people who run this inn are very helpful, friendly, and resourceful.
;hotel;desk agent	 hotel service	 positive negative	The desk agent was very quick to say no and it was abrupt, if the other agents had not been nice I would have had a problem with it.Anyway, it was a good hotel, not to be compared to a 4 star in the US but good...I would recommend the hotel but remember it might be a good idea to take the upgrade if offered and it is reasonable.
;tub	 rooms	 positive	Nice tub.
;waiting	 service	 negative	Often we seated ourselves after waiting, waiting, and waiting some more--WITH A RESERVATION.
;hotel;budget-minded	 hotel value	 positive positive	I have travelled many, many times and this by far was the nicest budget-minded hotel I have ever stayed in.
;location	 location	 positive	Location is worth the other hassles of the hotel.
;null	 hotel	 negative	We felt sorry for them.
;null	 value	 positive	0 a night instead of the usual 鈧?
;null	 hotel	 positive	The kids (7 years old) had a great time and are already asking when we are going to go back.
;null	 checkin	 negative	When I arrived in Amsterdam, I went to the hotel and was told that they had no reservation for me, were not expecting me, and that they were full for the night.
;null	 business	 positive	Business oriented, and highly recommeded for that purpose
;bathroom	 rooms	 negative	The bathroom door was a pocket metal door with a glass insert panel that slammed shut every time it closed.
;cleaned	 service	 negative	Many nights, our room was not cleaned until 6 and 7 PM.
;null	 hotel	 negative	Just Ok
;gran bahia hotels	 hotel	 positive	We enjoyed our vacation, but we have stayed at several Gran Bahia hotels befor and found it allitle blaw as we knew what to expect.
;hotel	 hotel	 positive	This hotel will definetly be my choice of hotel when we plan our next visit to Amsterdam.
;labelling	 food	 negative	Nobody knew what's in the chafing dishes or on all the plate, because no labelling.
;food;selection	 food food	 negative negative	The food was mediocre and the selection is small (compared to other resorts we have been to).
;null	 hotel	 positive	Heart of HollywoodO
;front office	 service	 negative	When we checked out the next day she yelled from the front office window at us, while we are on the street.... that she was charging us for extra people....and they did!
;rooms	 rooms	 positive	The rooms were absolutely perfect.
;paris	 hotel	 positive	Decided at 1am one night to visit Paris for a couple of days, searched and booked 10hrs later through boookings, finding a room ready and just sufficient to sleep a family of 4 with 2 children under 5 a few hours later.
;tea	 service	 positive	Then hot tea arrived the room with Asian cookies.
;food	 food	 negative	However, there are some thing that especialy Americans should know about before picking a resort in Punta Cana:1.- The food that Bavaro Princess served is hardly latin food.
;room;queen beds;sofa bed	 rooms rooms rooms	 positive positive positive	We had a very large room with two queen beds and a large (and comfortable) sofa bed.
;room;garden view	 rooms rooms	 negative negative	Then brought to yet another room 2nd floor garden view, bearly acceptable.....The room we requested and paid for would not be ready until the next day.??????????
;restaurant	 hotel	 negative	The restaurant attached to the hotel, however, is quite mediocre and very noisy, with unresponsive staff.
;duty manager	 service	 positive	The duty manager spoke to me in person and advised me to go to my room whilst he sorted this out within 5 minutes I was on the phone to the hotels sub contracted doctor who advised me to travel to see him as it would be quicker and cheaper.
;check in;rooms;null	 checkin rooms service	 negative negative negative	At first the check in person at the convenience store would not give me another room stating that everything was taken until we realized that the toilet was leaking into the bedroom.
;null	 hotel	 negative	you are supposed to be dining there) to be very frustrating.
;rooms;bathroom	 cleanliness rooms	 positive positive	The rooms were clean and the bathroom was completely up to date.
;null	 hotel	 neutral	Not the greatest
;location	 location	 positive	While the location is great, this one is a bust.
;rooms	 rooms	 positive	The rooms were nicely furnished -- but be aware this is a country that is not highly accustomed to Americans' perfectionist expectations.
;null	 hotel	 neutral	Content>I've been to GV on four seperate occasions.
;staff	 service	 positive	Nice staff too.
;room;view;ala wai canal	 rooms rooms rooms	 positive positive positive	My room had a great view of the Ala Wai Canal.
;hotel	 hotel	 negative	Stay away from this hotel, if you really need to be downtown stay in a well known chain for a few extra bucks, your peace of mind will be worth it.
;suite	 hotel	 neutral	"Suite (upgrade from ""Ocean View"")."
;rooms	 rooms	 neutral	The rooms are small but very cozy, we would definitely stay here again.
;null	 hotel	 negative	Thier brochure and website rate this hotel as a four and half star property, but at the time of our visit it did not meet the standard of a three star property.
;reception	 checkin	 negative	and bizarrely there often wasn't anyone at reception which is a bit of a shock when you return to the hotel and need to get your key.Very strange, and ultimately not very pleasant despite all its positives.
;neighbours;bathroom	 rooms rooms	 negative negative	That said, our upstairs neighbours also tried theirs and it leaked into our bathroom.
;cheaper	 value	 positive	I have no qualms about staying Kowloon side the hotels tend to be cheaper.
;clean;location;rooms	 cleanliness location rooms	 positive positive positive	The rooms were clean and the location of the hotel was great.
;room	 rooms	 positive	The room was spacious and smelled beautiful - can't ever remember a hotel room smelling SO floral....but not overwhelming.
;hotel	 hotel	 positive	My wife and I recently spent four nights at this excellent hotel,and it has been an unforgettable experience.
;hand rails;showers;handicap room	 rooms rooms rooms	 negative negative negative	There were hand rails everywhere and two showers so we figured we were in a handicap room.
;butter;glass;toast	 food food food	 negative negative negative	However, when I went to get butter balls for my toast, a piece of glass about 1 inch square was commingled with the butter and landed on my toast.
;beach;pool area	 hotel hotel	 neutral neutral	The Beach and pool area had bugs that bit me but didn't bother anybody else in our group.
;hotel	 location	 positive	Hotel is in Fisherman's Wharf, close to everything.
;null;questions	 hotel service	 positive negative	We felt as though we shouldn't be asking ANY questions....We would still recommend this hotel!
;comforter and bedding	 rooms	 positive	The comforter and bedding, as well as the entire interior, were all standard Hilton - nothing to connote the southwest (the comforter was a loudy itchy green floral print).
;snack bar	 food	 negative	24 hour snack bar - All they ever had was pizza and popcorn.
;bathrooms	 rooms	 positive	They are well maintained though (even if the bathrooms could be helped by a little bleach).
;lounge;location;rooms	 building location rooms	 positive positive positive	Good location - average rooms - Great Exec Lounge
;hotels	 hotel	 positive	I saw the other hotels as we went on an excellent Bike tour with fat tire bike tours an excellent way to see the sights and meet new people, the other hotels not wanting to dis them looked very run down and trading on a name ie hilton and raddison!
;value	 value	 positive	Great value for Manhattan
;reservations	 hotel	 negative	This was disturbing because the guest had reservations and were there for a wedding but for some reason there was no room.
;taxis	 location	 neutral	com, but taxis were cheap and readily available, in addition to the convenience of the metro.
;check in	 checkin	 positive	Check in went smoothly.
;rooms	 rooms	 positive	Yet, the rooms had a balcony, plus the bed was a tempur one.
;staff	 service	 positive	Pleasant and helpfull staff.
;reforma district	 location	 positive	It is also located in the Reforma district and in front of the Turibus stop where you can hop on and take a 4 hour tour of the city for nearly 100 peso's per day or 150 peso's for a 2 day weekend pass, which is well worth it.
;null	 rooms	 negative	Also all doors seem to have to slam to close.
;service	 service	 positive	It is very romantic, and the service is just outstanding!
;movie;show;disco/sportsbar	 hotel hotel hotel	 neutral neutral neutral	A movie at 8pm, a show (usually a performance of some kind) at 10pm and an on the property disco/sportsbar after the performance.
;breakfast	 food	 positive	Breakfast: Nice, sunny room with plenty of well-stocked items.
;exercise room	 building	 positive	There is an exercise room which we did not use (got enough exercise on the San Francisco hills!)
;menu	 food	 negative	They don't have a menu posted so you have no idea what is even offered.
;mexican	 food	 positive	Mexican - This was okay.
;money	 hotel	 negative	don't waste your money!!!
;fisherman warf;parking space	 location value	 positive positive	I chose the Francisco Bay because it locates near the Fisherman warf with free parking space, and affordable price.
;room	 rooms	 positive	Loved our Room
;breakfast	 food	 negative	(another place that $$ could have gone)The breakfast is crap I tell you!
