aspect term	category	polarity	text
;waiter	service	 negative	i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check.
;null	service	 negative	i know, you were too busy showing off your vintage tee shirt and looking bored, but my agenda is i'm here to eat and enjoy the company of friends, seeking a pleasant experience.
;null	restaurant	 negative	well, i didn't find it there, and trust, i have told everyone i can think of about my experience. 
;null	misc	 negative	the last time i walked by it looked pretty empty. hmmm.
;place	restaurant	 positive	This place has got to be the best japanese restaurant in the new york area.
;null	restaurant	 positive	I had a great experience.
;food	food	 positive	Food is great.
;service	service	 positive	Service is top notch.
;null	restaurant	 positive	I have been going back again and again.
;sea urchin	food	 positive	I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.
;null	food	 positive	It melted in my little mouth and the perfect consistency-not too fishy, creamy, and slightly buttery.
;sushi;sushi	food food	 positive positive	The sushi seemed pretty fresh and was adequately proportioned.
;rice to fish ration	food	 positive	The rice to fish ration was also good--they didn't try to overpack the rice.
;half price sushi deal;half price sushi deal	food price	 positive positive	We took advanatage of the half price sushi deal on saturday so it was well worth it.
;null	misc	 positive	Surprisingly nothing could be further from the truth.
;crowd	misc	 positive	In the evening, this place attracted a well dressed, with it, NY crowd.
;food;service	food service	 positive positive	The food was well prepared and the service impecable.
;null	restaurant	 positive	I'm going back.
;null	ambiance	 positive	Quite simply it's like stepping out of Manhattan and into a haven of tranquility.
;prix fixe menu;prix fixe menu;prix fixe menu	food food price	 positive positive positive	The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).
;null	restaurant	 positive	I will be going back and heartily recommend it!
;null;null	food price	 positive positive	It is terrific, as is the value.
;food;food;food	food food price	 positive positive positive	$6 and there is much tasty food, all of it fresh and continually refilled.
;dishes	food	 positive	I am not a vegetarian but, almost all the dishes were great.
;null	restaurant	 positive	Go hungry and enjoy.
;food;null	food service	 positive negative	The food here is rather good, but only if you like to wait for it.
;somosas;chai;chole;dhosas;dhal	food food food food food	 positive positive positive negative negative	I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.
;service	service	 negative	The service varys from day to day- sometimes they're very nice, and sometimes not.
;kitchen	service	 negative	The kitchen however, is almost always slow.
;food	food	 negative	Also, specify if you like your food spicy- its rather bland if you don't.
;ambience;null	ambiance misc	 positive positive	The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.
;view	location	 positive	If you've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer.
;service;food;food	service food price	 positive positive positive	Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.
;lava cake dessert	food	 positive	The lava cake dessert was incredible and I recommend it.
;cosette	ambiance	 positive	Once you step into Cosette, you're miraculously in a small, off-the-beaten path Parisian bistro.
;restaurant	ambiance	 positive	This tiny restaurant is as cozy as it gets, with that certain Parisian flair.
;food;french onion soup;french onion soup;desserts	food food food food	 positive negative positive negative	The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.
;ambience;food	ambiance food	 positive neutral	However, go for the ambience, and consider the food just a companion for a trip across the world!
;null	restaurant	 negative	IT WAS HORRIBLE.
;pizza;cheese	food food	 negative negative	The pizza was delivered cold and the cheese wasn't even fully melted!
;null	food	 negative	It looked like shredded cheese partly done - still in strips.
;null	restaurant	 negative	This has got to be one of the most overrated restaurants in Brooklyn.
;pizza;pizza	food price	 negative negative	The pizza is overpriced and soggy.
;ingredients;pizza;crust	food food food	 positive negative negative	Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.
;null	restaurant	 negative	A big disappointment, all around.
;meals	food	 positive	I think I've had some the best meals of my life at minnow.
;seafood;wine list;menu	food beverages food	 positive positive positive	The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.
;ingredients	food	 positive	The combination of super-fresh ingredients in the dishes are unusual but really delicious.
;null	restaurant	 positive	Worth the trip from Manhattan.
;pastrami;portion	food food	 positive positive	Best Pastrami I ever had and great portion without being ridiculous.
;fried shrimp;fried shrimp	food food	 positive positive	My wife had the fried shrimp which are huge and loved it.
;place	restaurant	 positive	As a Japanese native, I've lived in the Tristate area for over 8 years, but I was just so amazed at this place.
;place	misc	 positive	This place is the most Japanese it can ever get.
;signs;specials menus;food;waitstaff	misc food food service	 positive positive positive positive	The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.
;place	restaurant	 positive	This place is worth an one-hour drive.
;null	restaurant	 positive	I am so coming back here again, as much as I can.
;leon;leon;specials;atmosphere;french bistro fare	restaurant ambiance food ambiance food	 positive positive positive positive positive	Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.
;staff	service	 positive	My wife and I always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story.
;wine;wine	beverages price	 neutral positive	Decent wine at reasonable prices.
;null	restaurant	 positive	Have been dozens of times and never failed to enjoy the experience.
;null	restaurant	 positive	Our teenage kids love it, too.
;zucchero pomodori	restaurant	 positive	Everytime I decide to try another place on the UES, I get angry that I didn't just go to Zucchero Pomodori.
;place	restaurant	 positive	This is by far my favorite place in the neighborhood.
;service;decor;food;portions	service ambiance food food	 positive positive positive positive	The service is excellent, the decor is great, and the food is delicious and comes in large portions.
;gnocchi	restaurant	 positive	I'm partial to the Gnocchi.
;place	misc	 negative	This place is incredibly tiny.
;null	service	 negative	They refuse to seat parties of 3 or more on weekends.
;hostess	service	 negative	The hostess is rude to the point of being offensive.
;food	food	 negative	The food was bland oily.
;null	restaurant	 negative	I just don't understand all the hype...
;food;wine;service	food beverages service	 positive positive positive	We have been to this place many times, and always have great food, wine, and service.
;wait	service	 positive	We were worried we would have trouble getting in, but somehow managed to have a short wait.
;glass of wine	beverages	 positive	As always we had a great glass of wine while we waited.
;service	service	 positive	When we sat, we got great and fast service.
;people	service	 positive	The people that work there are always so friendly you forget you are in New York sometimes.
;place	restaurant	 positive	Make sure you try this place as often as you can.
;restaurant	restaurant	 positive	This is a fun restaurant to go to.
;pizza;atmoshpere	food ambiance	 positive positive	The pizza is yummy and I like the atmoshpere.
;pizza	price	 negative	But the pizza is way to expensive.
;null;toppings	price price	 negative negative	A large is $20, and toppings are about $3 each.
;lunch	food	 negative	I went there for lunch and it was not as good as I expected from the reviews I read.
;sauce;food	food food	 negative negative	Sauce was watery and the food didn't have much flavor.
;null	restaurant	 negative	I don't think I would go again.
;place	restaurant	 positive	This place is great.
;null	service	 positive	I had a huge group for my birthday and we were well taken care of.
;waitress;food	service food	 positive positive	The waitress was very patient with us and the food is phenomenal!
;service	service	 positive	Service was prompt, friendly and great.
;null;null	price restaurant	 negative positive	Slightly on the pricey side but worth it!
;pizza;service	food service	 positive positive	Great pizza and fantastic service.
;wait	service	 positive	There was a small wait, but shorter than I expected.
;block	location	 positive	Located at the end of a magnificent block.
;null	ambiance	 positive	Very cozy and warm inside.....
;null	restaurant	 positive	I will be back!
;sushi	food	 positive	This is the best sushi in new york city - hands down.
;place;food	ambiance food	 negative positive	The place is small and cramped but the food is fantastic.
;tuna of gari	food	 positive	Get the tuna of gari.
;sushi;thai food;planet thailand	food food restaurant	 positive positive positive	Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .
;menu	food	 positive	With the great variety on the menu , I eat here often and never get bored .
;atmosphere;null	ambiance price	 neutral positive	The atmosphere isn't the greatest , but I suppose that's how they keep the prices down .
;food	food	 positive	It's all about the food !!
;place	misc	 negative	first it took us a long time to find the place.
;menu	food	 negative	but when we looked at the menu, there weren't a lot of choices, most of them were dumplings in the appetizer section.
;rolls;rolls;sashimi	food food food	 neutral negative negative	those rolls were big, but not good and sashimi wasn't fresh.
;null	food	 negative	they were dry and disgusting, i didn't even finish my first piece.
;null	service	 positive	Hurley's is like Cheers where everyone knows your name and they are ACTUALLY glad you came.
;crunchy tuna	food	 positive	Try the crunchy tuna, it is to die for.
;null	food	 positive	Try everything for that matter, it is all good.
;null	restaurant	 positive	I have been going there since it opened and I can't get enough.
;garden terrace	ambiance	 positive	First went here to enjoy their garden terrace.
;food;service	food service	 positive positive	The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.
;steak tartare	food	 positive	The Steak Tartare is a great bet, they fix it for you at the table.
;open kitchen;restaurant	ambiance ambiance	 positive negative	Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.
;wine selection;gigondas;house champagne	beverages beverages price	 positive positive positive	Great wine selection, Gigondas is worth the price, and the house champagne is a great value.
;null;vibe;french food	ambiance ambiance food	 neutral positive positive	It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.
;place	misc	 positive	Have recommended the place to friends, always gets good response.
;crust;pizza	food food	 positive positive	Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!
;vt's	misc	 positive	I take all my NYC guests to VT's.
;neighborhood;food	location food	 positive positive	Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!
;null	restaurant	 positive	I've been there three times and have always had wonderful experiences.
;setting;service;null	ambiance service misc	 positive positive positive	I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.
;mizu	restaurant	 positive	I'm not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and I all enjoy Mizu very much... and we're repeat customers.
;null	service	 negative	Even after they overcharged me the last time I was there.
;spicy scallop roll	food	 positive	Make sure you have the Spicy Scallop roll.. .
;null	food	 positive	it's delicious!
;moules;lobster ravioli	food food	 positive negative	Moules were excellent, lobster ravioli was VERY salty!
;maitre d'	service	 negative	Took my mom for Mother's Day, and the maitre d' was pretty rude.
;null	service	 negative	Told us to sit anywhere, and when we sat he said the table was reserved.
;null	service	 negative	Stepped on my foot on the SECOND time he reached over me to adjust lighting.
;dessert;dessert	food price	 negative negative	Tiny dessert was $8.00...just plain overpriced for what it is.
;drinks;wine selection	beverages price	 positive positive	The drinks are always welll made and wine selection is fairly priced.
;chef's specials	food	 positive	Try their chef's specials-- they are to die for.
;service	service	 neutral	Service is not exactly five star, but thats not really a big deal.
;downstairs lounge	ambiance	 positive	Downstairs lounge is always a good attraction
;raga's	ambiance	 positive	Raga's is a romantic, cozy restaurant.
;exotic food;exotic food	food food	 positive positive	The exotic food is beautifully presented and is a delight in delicious combinations.
;null	price	 positive	It is also extremely well priced.
;staff	service	 positive	The staff is incredibly helpful and attentive.
;bar;beers;wines	beverages beverages price	 positive positive positive	The bar is very well stocked with interesting beers and well priced wines.
;null	restaurant	 positive	This is one of my favorite restaurants and it is not to be missed.
;null	restaurant	 positive	Your friends will thank you for introducing them to this gem!
;leon	restaurant	 negative	When we stumbled on Leon, we thought that we had found quite the gem BUT, we were certainly wrong.
;waitress	service	 negative	The waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet, we were told no...
;null	service	 negative	Then, to top things off, she dropped used silverware on my boyfriend's jacket and did not stop to apologize or clean the mess that was left on clothes. 
;null	service	 negative	Such a disappointment...
;service;food;null	service food restaurant	 negative neutral negative	Rude service, medicore food...there are tons of restaurants in NY...stay away from this one
;jekyll and hyde	restaurant	 positive	I had a grat time at Jekyll and Hyde!
;null;shows;actors	restaurant ambiance ambiance	 positive positive positive	I loved everythig about it-especially the shows and actors.
;server	service	 positive	Our server was very helpful and friendly.
;null	misc	 positive	I am bringing my whole family back next time.
;food	food	 positive	The food was good too.
;tuna;wasabe potatoes	food food	 positive positive	The tuna and wasabe potatoes are excellent.
;outdoor atmosphere	location	 positive	The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.
;null	ambiance	 neutral	Inside is a little cramped, but to be expected.
;service	service	 positive	Service was prompt and courteous.
;null	restaurant	 positive	This was a repeat visit and we'll definitely be back again.
;service;food	service food	 positive positive	Great service, great food.
;null	price	 neutral	Prices are in line.
;null	location	 negative	But too far east!
;pizza;fresh mozzarella	food food	 positive positive	The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.
;appetizer selection	food	 negative	Two complaints- their appetizer selection stinks, it would be nice to get some mozzarella sticks on the menu.
;null;null	food food	 negative negative	Also, because it is so thin, it gets cold very quickly and its not that filling.
;wait staff;pie	service food	 negative positive	Wait staff is blantently unappreciative of your business but its the best pie on the UWS!
;salad	food	 positive	By far the best salad I have had in a fast food restaurant.
;dining	food	 positive	fine dining restaurant quality.
;null	food	 positive	Over 100 different choices to create your own.
;null	restaurant	 positive	A must try!
;restaurant	restaurant	 positive	On a recent Sunday afternoon, a friend and I accidently found this great restaurant on our way to see the pulitzer prize winning play DOUBT.
;null;null	food ambiance	 positive positive	This was the perfect quiet, relaxing, and delicious accompaniment to our afternoon of theater.
;chicken pot pie;cheeseburger;cheeseburger;service	food food food service	 positive positive positive positive	The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.
;null	restaurant	 positive	With so many poor experiences to be had in the theater district, is truly an excellent find!
;null	restaurant	 positive	We will return many times for this oasis in mid-town.
;staff	service	 positive	The staff is no nonsense.
;food	food	 positive	The food options rule.
;bagels	food	 positive	When I lived upstate for a while I would buy freeze the bagels and they would still be better than any else.
;1st ave spot	misc	 positive	Worth visiting the 1st Ave spot because it is the original store.
;uni hand roll	food	 positive	He served me an Uni Hand roll, which I never had before, and let me tell you...IT WAS HEAVEN!
;sake menu	beverages	 positive	The sake menu should not be overlooked!
;null	restaurant	 positive	All in all, this midtown gem instantly became one of my favorite sushi restaurants in the city.
;lobster teriyaki;rose special roll	food food	 positive positive	Try the lobster teriyaki and the rose special roll.
;service	service	 positive	Service was very good - prompt, attentive and non-intrusive.
;food;pork belly	food food	 positive negative	Food was very good as well, considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience).
;wine list selection;wine-by-the-glass	beverages beverages	 positive positive	Wine list selection is good and wine-by-the-glass was generously filled to the top.
;traditional french decour;hall	ambiance ambiance	 positive negative	Traditional French decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation.
;cafe spice	restaurant	 positive	I've been to at Cafe Spice probably 5-8 times, it is probably still the best Indian restaurant around Union Square.
;service	service	 neutral	To sum it up: Service varies from good to mediorce, depending on which waiter you get; generally it is just average Ok. 
;seating	service	 positive	Seating is always prompt, though the restaurant does fill up in the evening.
;food;raw vegatables in side orders	food food	 positive negative	Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.
;null	service	 neutral	As many other reviewers noticed, your order is often slow to arrive - this is particularly true in the evening but is not a problem during lunch time.
;decor;semi-private boths	ambiance ambiance	 positive positive	The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date.
;red eye	restaurant	 positive	I have NEVER been disappointed in the Red Eye.
;live jazz band;atmosphere	ambiance ambiance	 positive positive	The first time I went, and was completely taken by the live jazz band and atmosphere, I ordered the Lobster Cobb Salad.
;meal	food	 positive	It's simply the best meal in NYC.
;red eye grill	restaurant	 positive	You cannot go wrong at the Red Eye Grill.
;restaurant	restaurant	 positive	If we were to move from the upper east side, we would genuinely miss this restaurant.
;restaurant	ambiance	 neutral	The restaurant is cute but not upscale.
;food;balance of herbs and tomatoes	food food	 positive positive	The food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes.
;null	restaurant	 positive	I would highly recommend it.
;null	restaurant	 positive	It's one of our favorite places to eat in NY.
;jekyll and hyde pub	restaurant	 positive	We had a great time at the Jekyll and hyde Pub last night.
;bar	restaurant	 positive	After really enjoying ourselves at the bar we sat down at a table and had dinner.
;server	service	 positive	The server was really cool and served us our food and drinks with a smile.
;decor;hidden bathrooms	ambiance ambiance	 positive positive	The place's decor and hidden bathrooms made for a good laugh.
;restaurant	restaurant	 positive	I highly recommend visiting this restaurant and having dinner and drinks!
;place	misc	 positive	If you are the type of person who likes being scared and entertained, this is a great place to go and eat.
;jekyll and hyde pub	restaurant	 positive	My husband and I thougt it would be great to go to the Jekyll and Hyde Pub for our anniversary, and to our surprise it was fantastic.
;beers;food;pumkin tortelini	beverages food food	 positive positive positive	The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.
;null	ambiance	 positive	The entertainment was great they have shows that go on through out the dinner.
;place	restaurant	 positive	Please take my advice, go and try this place.
;null	restaurant	 positive	You will not be disapointed at all.
;null	restaurant	 positive	We were not dissappointed in the least bit by this little gem.
;bagel	food	 positive	The bagel was huge.
;null	food	 positive	They were served warm and had a soft fluffy interior.
;bagel	food	 negative	The workers there also absolutely load the bagel with cream cheese (gets a little messy).
;null	restaurant	 positive	I loved it and would HIGHLY RECOMMEND.
;food;service	food service	 positive positive	This was my frist time at Cafe St. Bart's and I must say how delicous the food and the service was.
;lobster roll;lobster	food food	 positive positive	I have to highly recommend the lobster roll - not to much mayo; you can tell it was a fresh lobster.
;pizza;santa fe chopped salad;fish and chips	food food food	 positive positive positive	Other guests enjoyed pizza, santa fe chopped salad and fish and chips.
;food;ambience;service	food ambiance service	 positive positive positive	I highly recommend Cafe St. Bart's for their food, the ambience and wonderful service.
;staff	service	 positive	All the staff is absolutely professional!! 
;null	service	 positive	But they do.
;null	service	 positive	(that is A MUST, but not every restaurant can do...) 
;null	ambiance	 positive	There's nice and quiet, small but enough for 6 (or more).
;restaurant	restaurant	 negative	This restaurant was way overhyped.
;chow fun and chow see	food	 negative	My chow fun and chow see was really bland and oily.
;null	food	 negative	Okay-i don't mind the oily part (cause most are cooked that way) but it was way too bland.
;scallion pancakes;fried dumplings	food food	 neutral neutral	The scallion pancakes and fried dumplings were nothing out of the ordinary.
;service;restaurant	service restaurant	 positive negative	The service was the only thing good about this restaurant.
;null;sushi;tuna;rolls	ambiance food food food	 negative negative negative negative	It's boring on the inside, and our sushi was pretty below average... the tuna was soggy and the other rolls had no flavor.
;null	restaurant	 negative	I definitely wouldn't go back.
;pad penang;null	food food	 positive positive	Their pad penang is delicious and everything else is fantastic.
;null;service	price service	 positive negative	The price is reasonable although the service is poor.
;fresh restaurant;food	restaurant food	 positive positive	fresh restaurant was amazing........ food was delicious and of course fresh.
;null;null	ambiance misc	 positive positive	great for a romantic evening, or a fun evening with friends...
;null	restaurant	 positive	I will be going back very soon.
;null	restaurant	 positive	keep up the good work.
;chef	food	 positive	Hats off to the chef.
;null	restaurant	 positive	It was wonderful.
;salads	food	 positive	the salads are delicious, both refreshing and very spicy.
;pam's special fried fish	food	 positive	We had Pam's special fried fish and it was amazing.
;null;null	food food	 neutral positive	too large for just two people but nothing was left.
;vibe	ambiance	 positive	Great vibe, lots of people.
;null;null	food food	 positive negative	My husbands was perfect, my was well done and dry.
;atmosphere	ambiance	 positive	I didn't complain, I liked the atmosphere so much.
;null	restaurant	 positive	On a hot day it was fabulous to stop in and enjoy lunch.
;ambience;null	ambiance misc	 positive positive	Ambience is so cute and quaint, good for business although we were there on vacation.
;salads	food	 positive	Salads were fantastic.
;salads	food	 positive	Although we were looking for regular lettuce and some walnuts the salads we got were great.
;ingredients	food	 positive	Ingredients are organic which is a real plus for me.
;null	restaurant	 positive	We will be back.
;sushi;sushi	food price	 positive positive	This is some really good, inexpensive sushi.
;spicy tuna roll;spicy tuna roll;spicy tuna roll	food food price	 positive positive positive	The spicy Tuna roll is huge and probably the best that I've had at this price range.
;yellowtail	food	 positive	The Yellowtail was particularly good as well.
;all you can eat deal;all you can eat deal	food price	 negative negative	I have reservations about the all you can eat deal, however -- the choices are fairly limited and you can probably order more food than you can eat for less than $18 by just going off the menu.
;place	restaurant	 positive	In any event, this is a place I'll be sure to stop by again when I'm in this part of town.
;big wong	restaurant	 positive	Big Wong gets big Ups for a fine establishment.
;null;null;food;service	restaurant price food service	 positive positive positive positive	They have it all -- great price, food, and service.
;atmosphere;waiters	ambiance service	 negative positive	The atmosphere is noisy and the waiters are literally walking around doing things as fast as they can.
;null	service	 positive	The food is prepared quickly and efficiently.
;null;congee;noodles;rice dishes	price price price price	 positive positive positive positive	And it all comes at a very reasonable price (congee, noodles, and rice dishes are no more than $3-6 each).
;takeout	service	 positive	The takeout is great too since they give high quality tupperware as well.
;place	misc	 positive	This place is always very crowded and popular.
;caesar salad;arugula and goat cheese	food food	 positive positive	Enjoyed a very nice Caesar Salad while my wife had arugula and goat cheese....both very tasty.
;null;pasta dish	service food	 positive positive	We both opted for a pasta dish and they were served timely and fresh.
;tiramisu;chocolate cake	food food	 positive positive	We concluded with tiramisu chocolate cake, both were delicious.
;null	restaurant	 positive	We'd go back again
;restaurant	restaurant	 positive	I recently went to this restaurant with some co-workers for lunch and had an amazing time.
;staff;food;place	service food ambiance	 positive positive positive	The staff was accomodating, the food was absolutely delicious and the place is lovely.
;manager	service	 positive	We even had a visit from the Manager who wanted to make sure we were enjoying ourselves.
;null;null	price restaurant	 negative positive	Yes, the prices are high, but I felt it was worth it.
;null	restaurant	 positive	We all felt it was worth it.
;food;service	food service	 positive neutral	sometimes i get good food and ok service.
;food;service;service;good	food service service food	 negative negative negative positive	sometimes i get bad food and bad service, sometimes i get good good and bad service.
;null	restaurant	 negative	it is not consistent.
;dishes;wine;null;atmosphere	food beverages service ambiance	 positive positive positive positive	The place is a BISTRO which means: simple dishes and wine served efficiently in a bustling atmosphere.
;patis	restaurant	 positive	And where does Patis go wrong; no where. 
;null;null	food food	 positive positive	You are not eating haut cuisine with subtle hints of whatever but: Cassuolet, Steake Fritte, Tripe Stew, etc; simple stuff.
;pastis	restaurant	 positive	And evaluated on those terms Pastis is simply wonderful.
;pizza;place	food ambiance	 positive positive	Right off the L in Brooklyn this is a nice cozy place with good pizza.
;raddichio;null	food food	 negative positive	Mine was a little burnt but still delicious with goat cheese and panchetta (raddichio was kind of bitter though).
;mushroom pizza	food	 positive	My friend got the mushroom pizza which tasted better.
;sangria	beverages	 positive	The sangria was pretty tasty and good on a hot muggy day.
;place	misc	 neutral	Kind of a small place but I guess if they are not too busy might be able to fit a group or kids.
;null	restaurant	 positive	Overall I would recommend it and go back again.
;bombay beer	beverages	 positive	I started out with a Bombay beer which was big enough for two.
;null	food	 positive	MMmmm... it was delicious.
;service;people	service service	 negative positive	Service was slow, but the people were friendly.
;place	ambiance	 positive	It's a nice place to relax and have conversation.
;null	restaurant	 positive	I can't wait to go back.
;food	food	 positive	The food is authentic Italian - delicious!
;pizza;homemade pasta	food food	 positive positive	Pizza is terrific, as is homemade pasta.
;ambience;service	ambiance service	 positive positive	Ambience is delightful, service impeccable.
;food	food	 negative	I'm still mad that i had to pay for lousy food.
;hanger steak;tuna	food food	 negative negative	The hanger steak was like rubber and the tuna was flavorless not to mention it tasted like it had just been thawed.
;service;ambience	service ambiance	 negative negative	Service was also horrible and the ambience is not that great.
;null	misc	 negative	DO not try unless you're just going there to hang out like the rest of the hipsters who apparently have no sense of taste.
;place	restaurant	 positive	I go and eat out at many different restaurants and this is one place you have go and try.
;food;service	food service	 positive positive	This is my first time writing a review for a restaurant because the food and service was excellent.
;filet mignon dish	food	 positive	The filet mignon dish was superb!
;null	restaurant	 positive	I would defiantly come back here again as one of my top choices.
;restaurant	ambiance	 positive	It's a small cute restaurant.
;place	restaurant	 positive	I absolutely love this place!!!
;ambience	ambiance	 positive	I like the ambience, it's very dark and original.
;sushi	food	 positive	The sushi is amazing!!! 
;null	price	 positive	And amazingly cheap.
;null	restaurant	 positive	Big thumbs up!
;ambient;null	ambiance price	 positive positive	Very affordable and excellent ambient!
;beef and noodle soup dishes	food	 negative	We ordered some beef and noodle soup dishes from the Thai section of the menu but nothing we got was Thai.
;null	food	 negative	We were very disappointed.
;meal	food	 negative	We won't go to this place again for a good meal.
;place	ambiance	 positive	However, I think this place is a good hang out spot.
;place	restaurant	 positive	My Girlfriend and I stumbled onto this hopping place the other night and had a great time!
;pizza;wine;service;backyard dining area	food beverages service ambiance	 positive positive positive positive	THe Pizza and wine were excellent-the service too--but what really MADE this place was the backyard dining area.
;null	ambiance	 positive	It is one the nicest outdoor restaurants I have ever seen in NY--I am from Italy and this place rivals the ones in my country.
;null	misc	 positive	They tell me they are going to cover the garden in glass for the winter, so i'm looking forward to going there on a snowy night to enjoy it.
;place	restaurant	 positive	Check this place out!
;null	restaurant	 positive	HIGHLY RECOMMENDED!!!!!
;place	ambiance	 negative	First of all, this place is *not* romantic, as claimed by Citysearch's editorial review.
;null	ambiance	 negative	Either that, or the editor's idea of romance must be sharing a conversation with the next table, while trying to speak louder than the traffic on 57th.
