aspect term	category	polarity	text
;lens cap;viewfinder	 general general	 negative negative	the only two minor issues i have with the camera are the lens cap ( it is not very snug and can come off too easily ) and the lens itself ( it partially obstructs the view through the viewfinder but not views through the lcd ) .
;highlights	 general	 negative	i ' ve been bothered by blown - out highlights on the s330 , and the g3 seems to do only slightly better .
;lever	 general	 negative	the function lever - the one which switches between capture and view mode feels fragile .
;software	 general	 negative	the adobe camera raw plug - in shows once again that hardware is miles ahead of software .
;unresponsiveness	 general	 negative	the catch with the canon g3 camera , ( and perhaps all of digital cameras ) is that its unresponsiveness will cause you to miss precious shots .
;software;online service	 general support	 positive positive	the software that comes with it is amazing and the online service that comes free is really very neat . clean clear and well focused on over 95 % of all photos taken by a beginner .
;viewfinder	 general	 negative	one little minor flaw with this camera is that the lens is visible in the viewfinder , but does not detract from the image at all .
;lag	 general	 negative	it seems to me that after the focus and metering are complete there is quite a lag before the shutter ?
;pictures	 picture	 positive	one neat thing - i have taken some pictures in what i thought would be impossible lighting conditions pitch black rooms - no problem for the camera - rooms looked like they had ample lighting .
;camera	 general	 positive	this is the perfect camera for a photo hobbiest who wants to have easy point and shoot ability as well .
;digital pictures	 picture	 positive	i have not yet seen any of the usual problems with digital pictures ( purple fringing , etc ) so i am very pleased .
;download	 general	 positive	i was worried that 4 megapixel photos would download more slowly , but there ' s no difference in working with the files .
;camera;price	 general price	 positive positive	this is by far the finest camera in its price and category i have ever used .
;digital camera	 general	 positive	simply , the canon g3 is the best digital camera out there today at this price point .
;photos	 picture	 positive	i have taken hundreds of photos with it and i continue to be amazed by their quality .
;null	 size	 positive	the compact digital camera is especially useful if you have little children around and you can always take the camera with you and take many pictures of them .
;null;camera	 weight general	 negative positive	rather heavy for point and shoot but a great camera for semi pros .
;off button	 general	 negative	the on - off button feels somewhat flimsy , and has an awkward , tiny little lock - out button that needs to be depressed to turn on the camera .
;prints	 general	 positive	the prints are beautiful !
;looks	 general	 positive	the g3 looks like a work of art !
;null	 size	 positive	it is small , unlike my canon slr , so it easily fits in my pocket .
;pictures	 picture	 positive	my friends were impressed with the quality of the pictures i took !
;autofocus;scene mode;manual mode	 general general general	 positive positive positive	autofocus feels exactly like my film camera while scene and manual mode add a little fun challenge to it all .
;pictures;use;options	 picture usability general	 positive positive positive	i ' d highly recommend this camera for anyone who is looking for excellent quality pictures and a combination of ease of use and the flexibility to get advanced with many options to adjust if you like .
;features	 general	 positive	the camera has a wonderful set of features .
;viewfinder	 general	 negative	4 ) the viewfinder is borderuer lcd scoying .
;camera	 general	 positive	i am absolutely in awe of this camera , canon put enormous quality into the g3 .
;raw format	 general	 positive	1 . the ability to selectively switch to raw format during record review gives you incredible more post - processing flexibility .
;stitch pictures	 picture	 positive	this camera has a cool stitch pictures feature , to find out more just log on to canon ' s website .
;viewfinder	 general	 negative	to address two previous somewhat negative reviews : ( 1 ) yes , the lens barrel does obstruct part of the lower left corner in the lens viewfinder ; however , the lcd viewfinder is rather stunning and i find myself rarely using the lens viewfinder .
;camera	 general	 positive	the camera was a marvel .
;battery life	 battery	 positive	the battery life of this camera is twice that of the nikon 5000 and is better than anything else i ' ve seen .
;features	 general	 positive	1 it has all the features an amatuer photo - enthusiast would want .
;camera	 general	 positive	4 megapixels is plenty for all but pros , and you will not be disappointed with the results of this camera .
;camera	 general	 positive	there are so many functions in this little , yet powerful camera !
;four megapixels	 picture	 positive	four megapixels is great .
;software;use	 general usability	 positive positive	the canon computer software used to download , sort , upload and manage your digital pictures on the computer is very nice and very easy to use .
;size;null	 size weight	 negative negative	1 ) quite bulky ( it ' s about the same size as my minolta vectis s - 1 aps slr ) and uses a heavy battery , although not very solid as it is contructed mostly of plastic ( unlike canon ' s elph line )
;shape	 weight	 positive	4 . the shape of this device is a little squarer , without losing the weight which means better balance and less shaking while clicking .
;camera;use;photos;price	 general usability picture price	 positive positive positive positive	very comfortable camera , easy to use , and the best digital photos you ' re going to get at this price .
;camera	 general	 positive	definetely a great camera .
;digital zoom;optical zoom	 general general	 positive positive	the digital zoom takes as good of pictures , as the optical zoom does !
;camera;price	 general price	 positive positive	in summary , i love this camera and would whole - heartedly recommend this to anyone wanting a high quality point and shoot camera in the medium price range .
;camera	 general	 positive	this is my first digital camera , and what a ' toy ' it is !
;system error	 general	 negative	"got a "" system error "" problem 30 days after purchase ."
;movie clips	 picture	 negative	. the movie clips taken will always have some ' noise ' in it - you can ' t avoid that .
;pics;prints	 picture general	 positive positive	settings for just about everything , beautiful pics and beautiful prints .
;battery life	 battery	 positive	8 battery life is excellent .
;pictures;feels	 picture general	 positive positive	it takes great pictures , operates quickly , and feels solid .
;sunset feature;pics	 general picture	 positive positive	sunset feature takes incredible pics in the morning , and the evening !
;memory card	 memory	 positive	the memory card fit nicely since i also have a pocket pc and it automatically installed a picture software on my pda wolla .
;null	 general	 positive	this is quite simply the best you can ask for .
;controls;menus	 general usability	 positive positive	i love the eos based controls and easy menus .
;viewfinder;lcd;null	 general general general	 negative positive positive	not perfect ( yes , the viewfinder can get obstructed in instances . but the lcd works well enough in those instances ) , not the cheapest 4 . 0 mp , but the best 4 . 0 mp .
;use	 usability	 positive	whether you are a novice or an expert , its ease of use and functionality goes together .
;picture quality	 picture	 positive	picture quality in outdoor settings is indistinguishable from 35mm .
;picture	 general	 positive	you could take a picture of a stone glinting in the sun and still avoid the shining glaze and get the contours right .
;automode;manual modes	 general general	 positive positive	the camera is a dream to operate in automode , but also gives tremendous flexibility in aperture priority , shutter priority , and manual modes .
;downloads	 general	 positive	downloads are a snap and quick .
;camera;price	 general price	 positive positive	it is a fantastic camera and well worth the price .
;auto - focus;scene modes	 general general	 positive positive	the auto - focus performs well , but i love having the 12 optional scene modes - they are dummy - proof , and correspond to many situations in which i would actually seek to use the camera .
;null	 general	 positive	it is versatile and seems to be one of the best .
;camera	 general	 positive	i ' m extremely glad i bought this camera .
;rechargable battery;16 mb compact flash	 battery memory	 positive positive	comes with a 16 mb compact flash and one rechargable battery the charging unit , included , is fast and small .
;pictures	 picture	 positive	i love the quality of the pictures .
;null	 general	 negative	it sometimes takes the picture at some indefinite period of time after you press the shutter button .
;product	 general	 positive	it is a very amazing product .
;camera	 general	 positive	it surpasses my greatest expectations in a 4mp camera ..
;focusing system	 general	 positive	5 ) its focusing system is also very flexible .
;tiff format	 general	 negative	( i knew this before hand , and it is not that bad ) there is no tiff format .
;pictures	 picture	 positive	it takes great pictures .
;pic	 picture	 positive	first and foremost , it will take better pic ' s than most film camera ' s .
;transfer cable	 general	 negative	1 . pictures wo n ' t transfer to pc directly from the camera using the included transfer cable .
;closeup mode;rechargable battery	 general battery	 positive positive	the same 4mp chip from the 4500 camera , plus a 3x zoom with the ability to expand upon that with extenders , great closeup mode , long lasting rechargable battery , etc etc .
;battery	 general	 positive	the standard battery include with the g3 is a camcorder battery that will allow me to take pictures all day without worrying about charging .
;camera	 general	 positive	am i ever glad that i decided on this camera !
;zoom;lense	 general general	 positive positive	the extended zoom range and faster lense put it at the top of it ' s class .
;pictures;controls;battery;software	 picture usability battery usability	 positive positive positive positive	it gives great pictures , the controls are easy to use , the battery lasts forever on one single charge , the software is very user - friendly and it is beautiful in it chrome casing .
;macro shots	 general	 positive	i particularly like the way it aids me in taking my macro shots .
;use	 usability	 positive	those used to 35mm cameras will find the g3 very comfortable and friendly to use .
;16mb starter card	 memory	 positive	the camera comes with a lexar 16mb starter card , which stores about 10 images in fine mode at the highest resolution , i intend to buy a bigger card soon .
;neck strap	 general	 negative	the only minor nits i have with the camera are it is fairly boxy looking , it needs a wrist strap instead of a neck strap , and it is a bit slow between shots .
;camera	 general	 positive	this camera is closest to perfect than any other digicam that is 4 - 5 megapixel .
;battery life	 battery	 positive	battery life is ok .
;null	 general	 positive	yes , i recommend it over the competition .
;battery life	 battery	 positive	the battery life is very good , i got about 90 minutes with the lcd turned on all the time , the first time around , and i have been using it with the lcd off every now and then , and have yet needed to recharge it .
;battery life	 battery	 positive	battery life , the drawback to most digital cameras , to quote k . reeves .
;use;controls	 usability usability	 positive positive	it makes up for this by being extremely easy to use with well laid out controls that can be learned quickly .
;colors	 picture	 positive	without any tweaking at all , if the exposure is accurate , the colors are as realistic as ive ever seen produced by film , and this is a raw image !
;design;features;use;battery	 general general usability battery	 positive positive positive positive	it has a beautiful design , lots of features , very easy to use , very configurable and customizable , and the battery duration is amazing !
;camera	 general	 positive	this camera is perfect for an enthusiastic amateur photographer .
;use	 usability	 positive	i have not played with all the features yet , but the camera is easy to use once you get used to it .
;camera	 general	 positive	great camera , i have been using this for several months and got excellent results , simple friendly usage , in many scenes indoor , outdoor , snow , close up macro etc .
;features	 general	 positive	just received this camera two days ago and already love the features it has .
;camera	 general	 positive	i have owned this camera for a short time and would n ' t give it up for anything .
;noise	 picture	 positive	another good thing is that this camera seems to introduce much less noise in dark places than others i ' ve seen .
;weight;pix	 weight picture	 positive positive	it ' s light weight enough to take with you everywhere , but powerful enough to get outstanding pix .
;pictures	 picture	 positive	just a little overview , powershot g3 is the flagship of canon ' s powershot series and its an slr - like camera , its 4 megapixel and ( alsmost ) full manual control gives the pictures a touch of brilliance .
;photos;use;software	 picture usability general	 positive positive positive	4mp , 4x optical zoom , takes absolutely beautiful photos with detail that challenges all of the above 5mp cameras , easy to understand and use ( has a great swivel lcd screen ) , a lot of features and add - on options , comes with great software ( not to be overlooked ) , and last but by far not least , received my fiance ' s stamp of approval ( two thumbs up ! )
;picturers	 picture	 positive	the picturers are amazing .
;camera	 general	 positive	the functionality on this camera is mind - blowing .
;camera	 general	 positive	this is my first digital camera and i could n ' t be happier .
;features	 general	 positive	the g3 has most if not all of the features that you would want from a semi - pro / pro slr with a good range of manual options for those who know something about photography .
;controls	 usability	 positive	canon have packed a lot in here and the options and controls are easy to use and logically laid out .
;photos	 picture	 positive	just point and shoot and the photos were great .
;optical zoom	 general	 positive	has 4x optical zoom which is higher than any other in the same price range .
;photo quality	 picture	 positive	the photo quality is amazing and i know i ' m going to have fun with all the features .
;nikon	 general	 positive	a nikon will make you happier and leave you lots of good memories , as always .
;picture	 picture	 positive	they fired away and the picture turned out quite nicely . ( as all of my pictures have thusfar ) .
;manual functionality;pictures	 general picture	 positive positive	manual functionality is excellent , downloading pictures is quick and a breeze , and the quality is astounding .
;optics	 general	 positive	canon ' s optics are better and i believe their processing algorithms are also better .
;lens cap	 general	 negative	1 ) the included lens cap is very loose on the camera .
;focus	 general	 positive	you can move the focus range to almost anywhere in the scene with the push of a button , and it has an on - screen manual focus mode that would be really helpful if shooting a scene that is tough to automatically focus .
;auto mode	 general	 positive	in the hands of someone who does n ' t , it will yield good results on idiot program / auto mode .
;design;construction;optics	 general general picture	 positive positive positive	the design and construction are excellent -- as is the legendary quality of the nikon optics .
;null	 size	 negative	while light , it will not easily go in small handbags or pockets .
;indoor shots	 picture	 negative	on average , indoor shots with a flash are not quite as good as 35mm .
;image quality	 picture	 positive	the image quality is excellent .
;daylight pictures;indoor shots	 picture picture	 positive positive	the daylight pictures are brilliant and the indoor shots are very good provided that your subject is no more than about 8 feet away .
;software	 general	 negative	now there is one more complaint i have about the g3 and that is the software that comes with it for processing raw images ( i only shoot in raw image mode and the first thing i did was replace the 32 mbyte cf with a 512 mbyte cf , which gives me 130 raw images , as opposed to 7 !
;price	 price	 positive	10 great price for all the features .
;picture quality;optical zooms	 picture general	 positive positive	the larger lens of the g3 gives better picture quality in low light , and the 4 - times optical zooms gets you just that much closer .
;touchups;redeye	 general general	 positive positive	touchups , redeye , and so on are very easy to alter , and correct .
;camera	 general	 positive	really happy with this little camera .
;depth	 picture	 positive	what makes the focus - lock lag time something i can live with is the extreme depth of field obtainable with these point and shoot digicams at f8 .
;camera	 general	 positive	i am extremely satisfied with this camera .
;camera	 general	 positive	i have it for a week now , and this camera has exceeded my expectations .
;use;null	 usability general	 positive positive	in general it is easy to use and well laid out .
;battery	 battery	 positive	i needed three batteries to keep myself going with the s330 , but the battery in the g3 is a real powerhouse :
;pictures	 picture	 positive	the pictures are absolutely amazing - the camera captures the minutest of details .
;spot metering	 general	 positive	it ' s great to switch to spot metering and actually see it working on the lcd screen .
;photos	 picture	 positive	because it can help a so - so photographer take spectacular photos !
;rechargable battery	 battery	 negative	it comes with a rechargable battery that does not seem to last all that long , especially if you use the flash a lot .
;software	 general	 negative	3 the picture editing software it came with is adequate , but not very robust .
;manual	 usability	 positive	it comes with a clearly written manual and the learning curve is not too too steep .
;null	 size	 positive	it is small enough to fit easily in a coat pocket or purse .
;g3	 general	 negative	unfortunately , this digital moment - capturing device called the g3 sometimes captures the moment after the one you wanted .
;features;price	 general price	 positive positive	nikon 4300 , i feel , is the best camera out there for the features and price .
;pictures	 picture	 positive	with canon , you get pictures that appear to be photos , not still camcorder shots .
;camera	 general	 positive	all and all , i am extremely pleased with this camera .
;null	 general	 positive	overall i ' m happy with my toy .
;nikon	 price	 positive	after using it for about a month , i can state unequivocably that this nikon definitely delivers a huge bang for the buck .
;viewfinder	 general	 negative	when you look through the viewfinder ( not the lcd ) the bottom left corner of the picture ( about 15 % ) is blocked by the lens .
;zoom	 general	 positive	3 ) 4x zoom is nice
;photos	 picture	 positive	by cocking the shutter to the halfway position and getting the settings ready to shoot , i was able to produce excellent stopaction photos -- contrary to what other reviewers experienced .
;menus;features	 usability usability	 positive positive	the menus and features are easy to manipulate and access , and it takes silent movies .
;null	 general	 positive	the tiny ( postage - stamp sized ) remote unit is wonderful : not only does it trigger the shutter , it can also be used to zoom and review pictures .
;shots	 picture	 positive	in terms of the shots taken , this camera is insanely great !
;nikon 4300	 general	 positive	nikon 4300 is a very durable , compact package , and i find nikon to be a brand that i can trust .
;macro shots	 general	 positive	they take excellent macro shots as well .
;manual	 usability	 positive	the manual does a fine job filling in any blanks that remain .
;camera	 general	 positive	i love this camera .
;camera	 general	 positive	because this camera is beautiful .
;camera	 general	 positive	i ' ve now had the camera for two months and i ' m even more pleased with it .
;picture quality	 picture	 positive	a few of my work constituants owned the g2 and highly recommended the canon for picture quality .
;features	 general	 positive	operating its many features is easy and often obvious - i ' m no annie lebovitz , but i was able to figure out most of its abilities just messing around with it at a camera store .
;dial	 general	 positive	with a quick spin of the dial you can select shutter priority ( for high speed subjects ) , aperture priority ( for focal length ) or full program mode where the camera selects both for ideal photo quality .
;camera;features	 general general	 positive positive	this is my first digital camera and i can say that i am quite impressed with the features that it has .
;flash	 general	 negative	flash - as with all built - in flashes in small cameras , you get overilluminated main subjects with depth being lost .
;battery life	 battery	 positive	another point of note : the battery life is incredible !
;hot shoe flash	 general	 positive	the hot shoe flash attachment allowed me to buy and use a sophisticated flash unit :
;controls	 usability	 positive	controls easy yo use and easy to get to .
;canon g3	 general	 positive	i bought my canon g3 about a month ago and i have to say i am very satisfied .
;optical zoom	 general	 negative	it has a 3x optical zoom , which is average for these cameras .
;null	 general	 positive	i highly recommend it .
;optical zoom;price range	 general price	 positive positive	9 3x built - in optical zoom is a lot for this price range .
;battery life	 battery	 positive	2 . battery life is over 4 . 5 hours , compared to about 2 . 5 hours for the g2 or the 2 hours for most nikons .
;flashes	 picture	 positive	contrary to what ive read elsewhere , the g3 does sync at 1 / 250 of a second with third - party flashes , just as it does with the dedicated flashes from canon .
;camera	 general	 positive	over all a fantastic very compact camera , which made us experience photography on a totally new level !
;price	 price	 positive	recent price drops have made the g3 the best bargain in digital cameras currently available .
;null	 price	 negative	it was ( i sold it after a few months ) too expensive for the shots that i got .
;camera;null	 general price	 positive positive	this camera is ideal for people who want more power , but do n ' t want to spend 1000s dollars on a camera .
;audio	 picture	 negative	audio on video also lacking .
;software	 usability	 positive	the 4300 comes with excellent easy to install software i use it on xp and win98 without problem , battery charger , usb and video cable .
;menu dial knob	 general	 negative	within a year , there are problems with my menu dial knob .
;flash photos;noise	 picture picture	 negative negative	well flash photos are never great , and there was still a lot of noise .
;g3	 picture	 positive	overall , the g3 delivers what must be considered the best image quality of any current > 4 megapixel digicams , from a detail , tonal balance and color response point of view .
;control;auto mode	 general usability	 positive positive	"the canon g3 gives tons of control for photo buffs but still has an "" auto "" mode that makes it very easy for the novice to use ."
;camera	 general	 positive	overall it is the best camera on the market .
;night mode	 general	 positive	night mode is clear as day .
;camera;use;null;images	 general usability size picture	 positive positive positive positive	in my opinion it ' s the best camera for the money if you ' re looking for something that ' s easy to use , small good for travel , and provides excellent , sharp images .
;null	 general	 negative	canon ' s g3 does it consistently .
;software	 general	 positive	3 . the remote capture and fileviewer software bundled for photo capture is mind - blowing .
;camera;price	 general price	 positive positive	great camera , and for the price you can ' t beat it .
;pictures;macro	 picture picture	 positive positive	the pictures are razor - sharp , even in macro .
;pics;use	 picture usability	 positive positive	it takes excellent pics and is very easy to use , if you read the manual .
;null	 general	 negative	2 ) not very ergonomical - you ' ll find even for a point - and - shoot lens )
;auto;manual;scene mode	 general general general	 positive positive positive	"the possibilities with auto , manual , and the very helpful "" scene "" mode , which offers 11 optimized situational settings like portrait , landscape , beach / snow , sunset etc . , are endless ."
;pictures;learning curve	 picture usability	 positive positive	the pictures are fabulous and their is a ( short ) learning curve to it ; there are tons of features i have n ' t even gotten to .
;camera	 general	 positive	this is a great camera for you !
;auto mode;scene modes;use	 general general usability	 positive positive positive	in the auto mode it functions basically as a point and click , the scene modes are very easy to use and produce good results .
;software	 general	 positive	the software you get with this camera is perfect .
;null;use;feature	 general usability general	 positive positive positive	it ' s easy to use , and yet very feature rich .
;manual mode	 general	 positive	the manual mode is feature rich and i can ' t wait to get the hang of it .
;money	 price	 positive	still , at least from my perspective , a great camera for the money , and i ' m a happy camper !
;optical zoom;digital zoom	 general general	 positive positive	the optical zoom works great and the 14x digital zoom is a very nice addition although pictures at the highest digital zoom are a little blurry .
;size	 size	 positive	the small size is perfect for my little hands , but may perhaps be uncomfortable or awkward for a bigger person .
;lag time;flash	 general picture	 negative negative	the two limitations i knew i would have to deal with are the very long lag time before it focus - locks ( even in bright light ) , and the unsatisfactory light quality of the built - in flash .
;operate;pictures	 usability picture	 positive positive	i highly recommend this camera to anyone looking for a good digital camera that takes great pictures yet does n ' t take weeks to figure out how to operate .
;feel;weight	 general weight	 positive positive	this camera also has a great feel and weight to it .
;camera;image quality	 general picture	 positive positive	best camera ever . from the image quality , color , function , i can say almost everything .
;auto - mode;scene modes;manual mode	 general general general	 positive positive positive	the auto - mode is good enough for most shots but the 4300 also boasts 12 versatile scene modes as well as a manual mode though i admit i have n ' t played with it too much on manual .
;null	 size	 positive	it is n ' t big and offensive , though you would n ' t know it by looking at the pics it takes .
;software	 general	 negative	what the g3 raw image software gives you is a fantasy world designed to please the uncritical .
;speed;features;picture quality;functional conveniences	 general general picture usability	 positive positive positive positive	i wo n ' t go into the details here , as the online sites ( stevesdigicams , dpreviews ) go into great depth in their reviews , but i am very pleased with the features , the speed , the picture quality , the flexibility , the automation , and the functional conveniences this camera offers .
;camera	 general	 positive	this is a wonderful camera .
;photos	 picture	 positive	having used it for more than a month , i can say that it consistently produces topnotch photos .
;casing	 weight	 negative	it had a heavier and more sturdy casing .
;camera;print quality;tiny package	 general general size	 positive positive positive	awesome camera with huge print quality in a tiny package .
;canon powershot g3	 general	 positive	i recently purchased the canon powershot g3 and am extremely satisfied with the purchase .
;pictures	 picture	 positive	took hundreds of pictures and they were great .
;size	 size	 positive	it ' s size also makes it ideal for travel .
;camera	 general	 positive	this little camera has created a marriage between myself and nikon . never knew i could love a digital camera so much .
;8mb	 memory	 negative	8mb for a camera like this is a joke .
;viewfinder	 general	 negative	the lens is visible in the viewfinder when the lens is set to the wide angle , but since i use the lcd most of the time , this is not really much of a bother to me .
;canon g3	 general	 positive	despite this minor disappointment , i highly recommend the canon g3 anyone who is serious about digital photography .
;camera	 general	 positive	i have only had this camera for one full day and i have to say that it is wonderful .
;camera	 general	 negative	made the camera totally inoperable .
;picture quality	 picture	 positive	7 picture quality is excellent .
;null	 general	 positive	seriously ! i love it !
;camera	 general	 positive	i can ' t write enough positive things about this great little camera !
;features	 general	 positive	the g3 is loaded with many useful features , and unlike many smaller digital cameras , it is easy to hold steady when using slower shutter speeds .
;budget;camera	 price general	 positive positive	however , for a $ 600 - $ 800 budget , i think this camera is an excellent choice .
;auto setting	 general	 positive	newbies will find the full auto setting will give them perfect pictures right out of the box .
;camera	 general	 positive	great camera .
;battery life	 battery	 positive	battery life is good , although i recommend two rechargebles , or a alkaline backup , for those emergency pics you have to have .
;camera;learn;images	 price usability picture	 positive positive positive	this camera was affordable , very easy to learn , and produces spectacular images .
;optical setting	 general	 positive	however , its 3x optical setting is acceptable for 70 % of the shots that i take .
;built quality;lens	 general general	 positive positive	proven canon built quality and lens .
;finish	 general	 positive	its silver magnesium finish is stunning , and the sharp lines and excellent grip are better than any other camera i ' ve seen .
;memory card	 memory	 negative	the included memory card is too small .
;4 mp;3x optical	 general general	 positive positive	4 mp gives you room for the future gaining experience ; cost offsets over time from wanting more in a camera , 3x optical and the fact that it carries nikon ' s quality reputation behind it make the whole package prove itself worthwile at the price .
;focus;shoot	 general general	 negative negative	it feels slow to focus , and unbearably slow to shoot .
;auto mode	 general	 negative	. this camera keeps on autofocussing in auto mode with a buzzing sound which can ' t be stopped .
;focus assist light	 general	 negative	it does not have an auto - focus assist light which is nice for taking shots in low - light situations it allows the camera to focus in low light .
;performance	 general	 positive	i bought it for my trip to beunos aires , and also used it at the iguazu falls , and could not have asked for more perfect performance !
;camera	 general	 positive	i am quite happy with the camera .
;lcd	 general	 positive	the lcd screen pulls out and rotates in any direction for easy pictures .
;scene mode	 general	 positive	"the "" scene "" mode works well for the remainder of shots that are not going to be in a "" regular "" setting ."
;null	 general	 positive	i have not been disappointed with my purchase .
;service	 support	 positive	the service from the supplier was exceptional .
;null	 general	 positive	i am very pleased with it so far .
;pictures	 picture	 negative	1 . pictures taken in an indoor setting are a little dull and rarely hazy if you tend to take photographs from a distance .
;camera	 general	 positive	if you strictly use the lcd and not the view finder , i highly recommend the camera .
;raw images	 picture	 positive	i am stunned and amazed at the quality of the raw images i am getting from this g3 ( in conjunction with my professional flash system ) , and can easily put up with the cameras limitations , because ive never seen anything better within its resolution limits .
;value	 price	 positive	i compared this to a lot of other cameras , believe me , it ' s value for money .
;indoor shots	 picture	 negative	the only drawbacks i ' ve encountered are : 1 indoor shots from a distance > 8ft lack contrast and color , but i ' ve found this to be a problem with all cameras with built - in flashes that i ' ve used even on a nikon slr .
;4mp	 general	 positive	2 ) 4mp is about right for the target market of this camera ( semi - serious amateur photographer )
;camera;use	 general usability	 positive positive	the best 4 megapixel / 4x optical zoom camera available and fairly easy to use .
;g3	 general	 positive	what this plug - in reveals is the truly stunning quality of the raw g3 hardware .
;camera;null	 general price	 positive positive	even with these shortcomings , i still think it is the best digital camera available under $ 1200 .
;display	 general	 positive	"also , the display is "" hinged "" and it can be placed in a myriad of positions , or to protect it against any damage ."
;carry	 weight	 positive	it is light enough to carry around all day without bother .
;feels	 general	 positive	feels solid in hand .
;manual	 usability	 positive	i have yet to try using all of the adjustment options : shutter priority , aperature priority , light metering adjustments , etc . , but all controls are well thought out and and the manual is relatively clear .
;hot shoe	 picture	 positive	fortunately , the g3 has a hot shoe that can take an external flash , and fortunately for me , i already owned a one of the highest quality external flashes that money can buy : the metz 60 ct - 4 .
;metering option	 general	 positive	excellent range of metering options as well .
;pictures	 picture	 positive	the highest optical zoom pictures are perfect .
;photos	 picture	 positive	when i took outdoor photos with plenty of light and the objects were n ' t moving , the photos were awesome .
;camera	 general	 positive	"in a word , "" awesome "" is how i would describe this camera ."
;battery charging system	 battery	 positive	the g3 has a different type of battery charging system from the smaller canon cameras : the battery needs to be charged while in the camera , but the charging system also enables you to use the camera while plugged in without running down the battery .
;viewfinder	 general	 negative	the only drawback is the viewfinder is slightly blocked by the lens .
