aspect term	category	polarity	text
;homework;effort	 exam approachable	 neutral neutral	Homework will bring up your grade a little, and if you show a lot of effort he may help you along.
;tests	 grading	 positive	I thought I was going to get a D since I did bad on most tests but i ended with a decent grade so i can't complain.
;agenda	 teaching	 negative	Has her own crazy agenda for the class, unlike any other phl 100 class I've heard of.
;stuff	 knowledge	 positive	i hate calculus..but i guess he knows his stuff..if i went to class i guess that would help...
;tests	 exam	 positive	Easy tests.
;null	 teacher	 positive	He's a decorated and well traveled biologist - but beware.
;material	 teaching	 positive	If you listen to him, you'll understand the material.
;null	 teacher	 positive	Professor Cook is a great teacher.
;grader;essays;quizzes	 teaching grading exam	 negative negative positive	She's a little vague sometimes and kind of a rough grader on essays, but her quizzes actually make getting a decent grade a little easier.
;null;information;documentaries	 teacher teaching teaching	 positive neutral neutral	He's a really interesting person to listen to although most of his information that he shares with the class are from documentaries.
;teacher	 teacher	 positive	In all honesty, she is the best teacher I've ever had in all my schooling.
;old exams;pro-evolution	 exam teacher	 positive neutral	He recycles old exams so get a hold of those and youll be set to get an A in the class He is pro-evolution, so don't argue otherwise.
;lecture;exams	 teaching exam	 negative negative	However he repeats the same lecture over multiple times and there were things on exams he never taught in class.
;teacher	 teacher	 positive	Good teacher, very interesting.
;null	 teacher	 positive	SHE IS AWESOME!
;professor;null	 teacher teacher	 positive positive	Professor Capelotti is a great professor; he wants you to LEARN and not just spit back answers for an exam.
;lectures	 teaching	 positive	His lectures are full of tangents, jokes, and even singing.
;material;null	 teaching teacher	 negative negative	He wants you to memorize rather than to learn and appreciate the material.
;examples;outline;paper	 teaching teaching teaching	 positive positive positive	Mr.Everett was the best he explained everything clearly, gave mulptiple examples, and gave students a outline on how to write the paper.
;tests	 exam	 neutral	Tests are fairly tough but she prepares you as long as you show up.She does NOT tolerate any you-know-what and DO NOT show up late.
;questions	 exam	 negative	loves trick questions
;assignments	 exam	 neutral	She has unannounced writing assignments over your book, if you want to good on these you need to read, but its still not mandatory.
;hw	 exam	 positive	(test number + 1) Also, no HW.
;homeworks;video guides;review;discussion	 exam exam answering answering	 neutral neutral neutral neutral	Do all the homeworks, use the video guides, go to review and discussion.
;professor	 teacher	 negative	Easily the worst professor I've ever had.
;null	 grading	 positive	I didn't like him or the class, but I got an A.
;objective	 teacher	 negative	His whole objective is to trick as many students as possible and it sucks.
;tangents	 teaching	 negative	Goes off on tangents frequently and explains things a little more difficult than they have to be.
;null	 grading	 positive	If you try in the class you will get at least a B.
;gpa	 grading	 negative	Will spend the next year trying to fix my GPA :/
;null	 teacher	 negative	She's really tough.
;lectures;null	 teaching attendance	 positive positive	Be sure to sit in front for lectures as he walks around and you can't hear him in the back of the class.Be in lecture,pay attention, and you'll do fine.
;null	 answering	 positive	She loves when you participate and are aware of current events.
;attendance;null	 attendance attendance	 neutral positive	attendance not mandatory but you receieve points for going to class
;help	 approachable	 positive	He took time to help when needed.
;professors	 teacher	 positive	She is a breath of fresh air compared to the more lecture-happy professors on this campus.
;null	 teacher	 positive	I find him to be an interesting and lively character.
;exams	 exam	 negative	the exams are hard because he makes them that way intentionally so know your stuff and study for the exams!
;null	 teacher	 positive	LOVE HER!
;null	 grading	 neutral	Getting a C is easy , the challenge is getting an A.
;professor	 teacher	 neutral	Okay professor
;material	 teaching	 neutral	Jumps right into the material.
;essays;research paper;exams	 exam exam exam	 neutral neutral neutral	3 essays, 1 research paper, 3 exams.
;null	 teacher	 positive	Absolutely LOVE him!
;class	 relevant	 negative	This class is a joke.
;discussions	 answering	 positive	I took this class Friday mornings and every week we had great discussions.
;lectures	 teacher	 positive	saw his lectures online, this guy is amazing!!
;class	 teaching	 negative	He doesn't teach anything in class don't even bother going.
;professor	 teacher	 positive	She is a very good and passionate professor.
;null	 teacher	 positive	If you don't mind getting into the actual theory behind basic calculus, Cook is great.
;null	 teacher	 negative	U wont learn a whole lot from him though
;class	 teacher	 negative	NEVER take this class with him.
;exams	 exam	 positive	Cook teaches by example and his practice exams are very similar to real exams.
;null;null	 teacher approachable	 negative negative	Not very nice and not very helpful.
;grader	 grading	 positive	Easy Grader!
;null	 teacher	 positive	This beautiful man.
;null	 teacher	 positive	Best Prof of all time
;null	 knowledge	 positive	He is EXTREMELY knowledgeable and interesting.
;class	 teacher	 positive	I love her class and I love her.
;points;grade	 attendance attendance	 neutral neutral	If you're going to be late, don't come at all she takes 10 points off your final grade if you interrupt class.
;labs	 relevant	 negative	The labs are mind numbing but nothing too bad.
;tests	 exam	 negative	extremely nervous prior to his tests because they are very very tricky.
;class;exams	 course exam	 neutral positive	However, his class is pretty tough, making us apply the knowledge we learned in class on exams.
;null	 teacher	 positive	He is a really nice person as well.
;information;slides	 teaching teaching	 positive positive	I would recommend him though because he has VERY detailed information on his slides.
;exams;quiz;notes	 exam exam exam	 negative negative positive	His exams are tough, no doubt, and you better be prepared for a quiz every Friday but most times he's pretty lenient with letting us use notes or discuss it
;xtra pts;clicker qs	 grading grading	 positive positive	Xtra pts from clicker Qs.
;null	 teacher	 negative	do not like him at all!
;class	 teaching	 positive	He is super helpful and gives you everything you need to know plus more, and this made the class seem less scary.
;class	 teaching	 negative	Class is a waste of time.
;tests;multiple choice	 exam exam	 neutral neutral	tests are mostly multiple choice
;tests	 grading	 neutral	Tests aren't too hard, though.
;grading	 grading	 negative	Their horrible and their grading is ridiculous.
;material	 teaching	 negative	The material is not too hard but he makes it very confusing.
;students	 teaching	 positive	Funny,classy, and engaging and clearly cares about her students.
;professor	 teacher	 positive	The professor is really fun and intelligent.
;final grades	 grading	 positive	He even admitted he thought the exam was too hard so he would scale the final grades for our class.
;null	 approachable	 positive	Always willing to offer additional help to anyone in need.
;lectures;diagrams;notes	 teaching teaching teaching	 negative negative negative	He cares about having the students do well but lectures off of diagrams that you can't really take notes from.
;presentations	 teaching	 negative	His presentations did not help me prepare for any of test.
;bio professor	 teacher	 positive	Molumby is an awesome Bio professor &  my fav so far.
;humor;lectures	 teaching teaching	 positive positive	I love how he uses his sense of humor to lighten up the lectures.
;biology	 course	 neutral	This class is designed for people who enjoy biology and/or biology majors.
;null	 approachable	 positive	There's this kid in my class who is 3 labs behind and Art takes time to help him.
;math	 teaching	 negative	I learned more about the 60s than I did anything about math.
;professor	 teacher	 positive	first professor that actual cares about his students!
;null	 teacher	 positive	Really cool guy.
;material	 teaching	 neutral	However, note that Dr. Capelotti doesn't cut any slack to his students, he actually expects you to WORK and spend time with the material outside of class.
;help;appointment	 approachable approachable	 positive positive	Also, if you need extra help you can make an appointment to receive help.
;class	 teaching	 positive	Class was sometimes boring, but he was funny.
;review;o.h.	 approachable approachable	 neutral neutral	Gives an ok review for tests and encourages students to visit him during O.H.
;prof	 teacher	 positive	Overall, awesome prof and he has great taste in music.
;tests;random lecture fun facts;answer keys;exams	 exam exam exam exam	 negative negative negative negative	Basically tests you on random lecture fun facts he says periodically and refuses to give answer keys to his previous exams to study for.
;question	 answering	 negative	Can't directly answer a question.
;final	 exam	 negative	Final is basically impossible to prepare for.
;teacher	 teacher	 positive	Good teacher
;lecture	 teaching	 positive	If she feels like we're not understanding she starts the lecture overrewords to ensure u understand.
;null	 teacher	 positive	Schurter = BOSS.
;exams	 exam	 negative	His exams are difficult if you can't hear in lecture
;tests	 exam	 positive	Tests were hard but if you study you'll do fine.
;money;time;gpa;instructor	 teacher teacher teacher teacher	 negative negative negative negative	Save your money, time, and GPA and take another instructor.
;professor	 teacher	 negative	THIS MAN IS THE WORST PROFESSOR @ UMASS.
;lectures	 teaching	 negative	Beware of long lectures.
;teacher	 teacher	 positive	Hora is an amazing teacher and does a lot to help you.
;essay style	 exam	 positive	They are both essay style but go to class and you will do great!
;style	 teaching	 positive	He has a very engaging style and is interesting to listen to.
;professor	 teacher	 negative	One of the worst professors I've ever had.
;null;null	 teaching teacher	 negative negative	hes very good at lecturing however he expects you to know EVERY word of all of the 150 slide presentations.
;upper level classes	 teacher	 positive	Its seems that her upper level classes are much easier than her lower level classes, i.e POLS 120.
;test	 exam	 negative	Test are hard too
;professor	 teacher	 positive	I am honestly looking forward to more classes with this professor.
;null	 teaching	 negative	He needs to get off his sledge and step out into the real world, where students can't just get up and go to D.C.
;lecture;structure	 teaching relevant	 positive negative	Enjoyed lecture but as far as studying, it was more independent based and for me I prefer more structure.
;lab work	 exam	 positive	Do all the lab work cause it will save you in the end.
;lectures	 teaching	 positive	Very lively lectures especially when he does experiments in class.
;material;class	 teaching teaching	 negative negative	The material and class sessions are VERY boring, but its an easy way to fulfill a PHL requirement.
;null	 teacher	 positive	Very cool guy, gonna miss this class.
;concepts;problem concepts;exams	 teaching exam exam	 neutral neutral neutral	The story is that he'll teach you concepts in class and sometimes use book problem concepts in exams, too.
;null	 teacher	 neutral	And yea, he's kind of soft-spoken.
;college instructor	 teacher	 positive	I can say with complete confidence that this is the best college instructor I have ever taken.
;professor;null	 teacher teacher	 positive negative	good professor but hard.
;null	 teaching	 negative	Almost all the time, he spends time talking about stuffs that are not related to lectures and goes off tangent all time.
;literature;online course	 teacher teaching	 positive positive	Prof. Everett is very passionate about literature and has put a huge amount of work into his online course.
;class	 grading	 positive	i took this class in 2010.If you cnt get at least a B in this class,you got real problems.
;labs	 course	 positive	TAs are good and labs are not too bad...relatively easy.
;lectures	 teaching	 neutral	Having seen the 106a lectures online and liked them, I wasn't particularly expecting anything new.
;students	 teacher	 positive	She really cares about her students and the world for that matter.
;powerpoints	 teaching	 negative	The powerpoints are FULL of text and very boring.
;readings	 exam	 positive	as long as you keep up with your readings you will do well!
;lecture;discussion	 attendance attendance	 positive positive	His class isn't for slackers; you'll need to attend every lecture and discussion to do well but he's worth it.
;microphone	 teaching	 neutral	He only talks to the students in the front and refuses to use the microphone.
;null;exam	 teaching exam	 positive negative	He teaches well but adds things you never expect to the exam.
;exams;practice exams;homeworks;si sessions;lecture	 exam exam exam exam exam	 negative negative negative negative negative	He exams are nothing like the practice exams, homeworks, SI sessions, or what he does during lecture.
;test questions;practice exam	 exam exam	 neutral neutral	His test questions sometimes are almost identical to the ones on the practice exam
;class	 teaching	 positive	This class was awesome, I really enjoyed it.
;calc	 teacher	 negative	If you have never taken calc then DO NOT take it with him.
;null	 teacher	 positive	very funny and laid back lady.
;null;teacher	 teacher teacher	 positive negative	She is a neat lady, but not a fun teacher.
;class work	 exam	 positive	Her class work is decent and is useful to the course material.
;class	 teaching	 negative	The professor is funny, but going to his class is pointless because he doesnt know how to teach.
;class	 teacher	 negative	Avoid his class!!
;paper topics;null	 exam teacher	 negative positive	Paper topics can be confusing, but just ask her for help!
;teacher;question;answer	 teacher answering answering	 positive positive positive	This Brother is an awesome teacher, ask him any question and you'll get the answer on the spot!
;null	 teacher	 positive	Better then most though
;null	 approachable	 positive	She is really helpful in class.
;teacher	 teaching	 positive	loves to poke fun and enjoys teaching good teacher if you show you are there to learn he will help you if you dont care he wolnt either
;null	 teacher	 positive	She is da bomb.
;professor	 teacher	 positive	Overall, I really enjoyed him as a professor and he got me more interested in ecology by the end of the class.
;null	 teaching	 negative	a bit boring at times when he just reads and reads.
;tests	 exam	 negative	harder tests
;teacher	 teacher	 positive	He's an awesome teacher.
;exams	 exam	 negative	EXAMS AREE NOT RELIABLE AND VALID IN SOME CASES.
;professor	 teacher	 positive	Don't let that dissuade you, he is a fantastic professor.
;pop quizzes;assignments;course	 exam exam course	 neutral neutral neutral	His pop quizzes do make reading the required assignments essential, but overall this course was a breeze. 
;null	 teacher	 positive	extremely down-to-earth.
;comma	 teacher	 positive	If you've wondered how to use a comma and feel like learning to write coherently, he's good for that.
;book;lecture slides;old exams	 exam exam exam	 positive positive positive	you don't need a book, just read his lecture slides and study his old exams then you will do fine
;material;notes	 teaching teaching	 negative neutral	The material is hard, but just read the notes.
;stories;exams	 relevant exam	 positive positive	He tells some fascinating stories in class, all of which are relevant and many ended up on exams.
;research project	 approachable	 positive	Also, she takes you step by step in the research project so if you do what she tells you to do, it's hard not to get an A!!!!
;ta	 grading	 neutral	A lot of the points come from the TA, probably like 35-40%.
;class;owls;exams	 attendance attendance attendance	 positive positive positive	GO TO CLASS, DO THE OWLS AND MAKE SURE TO UNDERSTAND THE OLD EXAMS HE HANDS OUT.
;null	 teacher	 positive	Highly recommend!
;curve	 grading	 negative	refuses to give a curve when he fails to project his voice.
;subject matter;sense of humor	 teaching teacher	 positive positive	He has a good sense of humor, and makes the subject matter interesting.
;professor	 teacher	 negative	Ridiculous professor.
;history;math	 teaching teaching	 neutral neutral	He teaches the history of math than the math itself.
;professor;teaching style	 teacher teaching	 positive positive	Interesting professor, I enjoyed his teaching style very much.
;grades	 grading	 negative	NIce woman, but grades in an extremely biased fashion.
;tests;answers	 exam exam	 positive positive	Tests are easy (she gives you the answers).
;null	 teaching	 negative	He showed plenty of laziness this semester on separate occasions.
;class	 teaching	 positive	Going to class was like getting free therapy!
;teaching	 teaching	 negative	You actually get about 25 minutes of bad teaching in the 50 minute block.
;tests	 exam	 neutral	tests to the point usually.
;null	 teaching	 negative	He doesn't really help you learn.
;null	 teacher	 positive	I love Capelotti.
;tests;old exams;powerpoints	 exam exam exam	 negative neutral negative	His tests were hard, but studying his old exams were more helpful then actually studying his powerpoints.
;lectures	 teaching	 positive	his lectures are A LOT more interesting than Murray's.
;answers;iclicker questions;class	 teaching teaching attendance	 neutral neutral neutral	Plus he never really gives you the answers to any of his iClicker questions in class, so going to class is pretty important.
;null	 teacher	 positive	That is if you're into the ridiculously intelligent bad boy sort of thing.
;instructor	 teacher	 positive	Mr. Everett is a wonderful instructor.
;tas	 approachable	 positive	All the TAs for this class were great too!
;null	 teacher	 positive	Great lady, kind and easy going.
;on-line practice exams;old exams;notes	 exam exam exam	 neutral neutral neutral	Study his on-line practice exams, old exams, and his notes.
;null;null	 teaching teacher	 negative positive	Randy is a great guy, but he is not always very clear.
;review sheet	 exam	 positive	He does provide a review sheet, though.
;lectures	 attendance	 neutral	Attend all his lectures if you want an A.
;null	 teacher	 positive	She's crazy and funny, her classes are usually never a bore.
;course	 course	 positive	Easiest math course @umass.
;classes	 teaching	 negative	I hate his classes, and I've taken chemistry all my life and he still doesn't make sense!
;professors;students	 teacher teacher	 positive positive	He is one of the few professors who actually cares about his students as individuals.
;minor details;lecture slides;book	 exam exam exam	 negative negative negative	They cover minor details from the lecture slides &  book.
;office	 approachable	 positive	I stop by her office on the regular (as do many other students).
;hard grader	 grading	 positive	It's not overwhelming, but she's still a hard grader.
;class	 course	 positive	One of the easiest class I've taken.
;review sessions;exams;true/;false	 approachable exam exam exam	 positive positive positive positive	He holds review sessions (be grateful, not all college professors do this) and his exams are True/ False and can be confusing but it sets you up for BIO152
;null	 teacher	 positive	Molumby's class was one of the best I've taken at UIC.
;question	 approachable	 positive	If you need help or have a question he will go out of his way to do anything he can to help you.
;concepts	 teaching	 negative	He isn't able to deliver concepts well.
;professor;mistakes	 teacher teaching	 positive positive	decent professor, makes mistakes, but isn't afarid to admit when he has, which is good.
;answers	 exam	 neutral	You have 3 basic answers, A &  B, A&C, ABC, and none of the above.
;quizzes;exams;class period	 exam exam teaching	 positive positive positive	She gives plenty of helpful hints for upcoming quizzes and exams and makes every class period the most enjoyable i have ever had in my whole college experience.
;class	 course	 neutral	I took his anth 021 and 045, every class was different.
;genetic test;grade	 exam grading	 negative negative	wait for the genetic test as it will screw up ur grade.
;prof;material	 teacher teaching	 positive positive	I've never had a prof who cares so much that the students learn the material and are able to apply it.
;class	 course	 neutral	Class was alrite, boring at times~ got a B
;tangents	 teaching	 negative	He goes on a lot of tangents too, which can be kind of annoying.
;class	 course	 negative	Not an easy class!
;class	 course	 negative	tough class tho
;history;multiple-choice tests;fill-in;short essay tests	 course exam exam exam	 neutral neutral neutral neutral	If you're not good with history, multiple-choice tests, fill-in, or short essay tests, this class isn't for you.
;past exams;exams;slides	 exam exam exam	 neutral neutral neutral	Look at past exams and memorize the slides if you want to pass the exams.
;subject;graduate school	 knowledge teaching	 positive negative	He knows the subject very well but he taught the 021 class as if it were a class in graduate school.
;powerpoints;null	 teaching grading	 positive positive	Powerpoints best thing to study, I got an A.
;facts	 teaching	 neutral	Those facts act as reference points for recall.
;class	 teacher	 positive	I highly recommend this class!
;professor	 teacher	 positive	He is quite cute, as a few people have mentioned, and it is a pity he's married (for us, not him), but that has nothing to do with him as a UIC professor.
;classes;formulas;leibniz;newton	 teaching teaching teaching teaching	 negative negative negative negative	He spends entire classes deriving formulas that are in the text already, and spouting off about Leibniz and Newton.
;tests	 exam	 negative	Doesnt prepare you for the tests well, but they arnt made by him...
;teacher	 teacher	 negative	Bad Teacher
;lectures	 teaching	 positive	His lectures are great and you can tell he's a super smart guy that's passionate about his field.
;office hours	 approachable	 positive	Also extremely helpful in office hours.
;slides;exams	 exam exam	 positive positive	For the exams, studying the slides+ old exams can get you a B easily.
;lectures;materiel	 teaching teaching	 negative negative	I was never great at Calculus so i went to 95% of lectures and still had a lot of trouble with the materiel.
;problems;class	 teaching teaching	 positive positive	No problems to work on your own the double check in class.
;homework	 exam	 negative	Don't bother buying the book because the Wiley access code you need for the homework comes with an ebook.
;class	 teaching	 negative	I did not enjoy this class one bit.
;students;names	 teacher teacher	 positive positive	Genuinely cares about students and knew all of our names within the first two weeks of class.
;tests	 exam	 negative	This idiot of a professor gives the worst tests ever.
;old exams	 exam	 neutral	so you need to study a lot..it helps if you have old exams to study
;null	 course	 positive	You really have to work for it though.
;null	 teacher	 positive	SHE IS FUNNY AND VERY ENGAGING.
;stuff;material	 knowledge teaching	 positive negative	The teacher knows his stuff but he tends to go through the material too quickly.
;tests;notes;movies;quizzes;text books	 exam exam exam exam exam	 neutral neutral neutral negative negative	tests are word for word from the notes and movies you watch...quizzes are harder and from the text books.
;null;course	 teacher course	 positive positive	She really brought the class together and the course was really interesting.
;prof	 teacher	 positive	Good calc prof!
;professor	 teacher	 negative	Worst professor you could ever take.
;null	 teacher	 positive	Mehran rocks my socks off.
;grades	 grading	 negative	She grades extremely hard on papers and will not listen to your concerns...so if you have to take the class take it with anyone except her.
;lectures;passion	 teaching teaching	 positive positive	he has a passion for what he does and it shows during his lectures.
;online class;time	 attendance attendance	 positive positive	Though this is online class, he forces student to attend on his certain time.
;essays;research paper;project	 exam exam exam	 positive positive positive	You get to turn one of your regular essays into the research paper, which makes that big project so much easier at the end of term.
;outside resources;exams	 exam exam	 neutral neutral	Use outside resources to prepare for the exams.
;class	 course	 negative	dont take this class if you cant teach yourself some pretty difficult math
;material;exams	 exam exam	 negative negative	Exams are very difficult, and you MUST know the material because his exams are TRICKY.
;stuff	 knowledge	 positive	He is funny and really knows his stuff.
;null	 grading	 negative	Papers are graded harshly.
;null	 teacher	 positive	Great Guy
;stories;null	 teaching approachable	 positive positive	Her stories are hilarious and she is there for you when you need her.
;bio;concepts	 teaching teaching	 negative negative	He expects you to have taken bio previously and fully understand the concepts.
;feedback	 approachable	 positive	Leaves plenty of feedback and you can tell he wants his students to succeed. 
;lectures	 teaching	 negative	Cook has been teaching for so long that he has his lectures pre-scripted in his head.
;null	 knowledge	 positive	Is incredibly cultured and knowledgeable on everything.
;book	 relevant	 positive	You don't NEED the book, but it helps reading it along with the ppts.
;teacher	 teacher	 positive	Randy really is a great teacher.
;teacher	 teacher	 positive	HOWEVER, Everett is an exceptional teacher.
;null	 teacher	 positive	Professor Capelotti is hilarious!
;owls;questions;tests	 exam exam exam	 negative negative negative	Do all the OWLS, get at least 7 out of 14 questions right on each of the tests, and you'll get a C. If you do worse you will fail.
;stories	 teaching	 negative	Really is a kind old guy, who likes to tell stories that sometimes last half the class.
;null	 teaching	 negative	My only complaint is he talks really fast and mumbles a lot.
;null	 grading	 positive	Definitely not an easy A, but there is not much work.
;power points;subject	 teaching teaching	 negative negative	i am just trying to get a credit and this class is just dragging he continues to go off subject during lecture and his power points are super long.
;riot	 teacher	 positive	Prof C is a riot in class.
;lecture slides;examples	 teaching teaching	 positive positive	If I was to retake the course, I would read the lecture slides and make sure I understand all of the terms since he goes over many examples during lecture.
;exams;tests	 exam exam	 neutral neutral	They appear on exams so pay attention (dont take notes on them, general interest in what he's saying should be enough for tests).
;fail	 grading	 negative	Most students fail here.
;work	 course	 neutral	This class is challenging and you have to make sure you do all the work otherwise you will not pass.
;biology;appreciation;students	 teacher teacher teacher	 positive positive positive	He is passionate about biology and makes it his goal to instill the same appreciation in his students.
;professor	 teacher	 positive	Excellent professor.
;problem	 teaching	 negative	The only problem i had with him was that most times he spent alot of time explaining an simple problem which made it more confusing.
;tests	 exam	 negative	His tests can be difficult, but he has excellent taste in music
;tests;style	 exam exam	 neutral neutral	His tests are tricky at first but once you get to know the style it gets easier.
;prof	 teacher	 positive	I really liked this prof!!
;college professor	 teacher	 positive	In my opinion, he is too easy for a college professor.
;quizzes;exams	 exam exam	 neutral neutral	Weekly quizzes and 3 exams (no surprises)
;teacher	 teacher	 positive	he's really an awesome teacher.
;null	 teacher	 positive	He can be funny at times.
;students	 approachable	 positive	Did I mention he cares about his students!
;professor	 teacher	 positive	Molumby is an awesome and smart professor!
;class	 course	 neutral	He does make the class a bit tough though, still a good guy.
;class	 course	 positive	The class was pretty easy.
;null	 teacher	 negative	Would not reccomend taking the 75 minute lecture block, just too much drole for uninterested people.
;question	 approachable	 positive	but he was helpful and answered every question and email.
;character	 teacher	 positive	I loved this class because he is such an interesting character.
;american studies	 relevant	 negative	I don't know what these crazy explorers have to do with American Studies.
;null	 teaching	 positive	Helpful, funny (i mean extremely funny), and clear.
;lectures	 teaching	 negative	Lectures aren't clear so you have to teach yourself a lot of things.
;class	 attendance	 positive	GO TO CLASS.
;homework	 exam	 positive	No real homework.
;emails	 approachable	 negative	Doesn't look at emails.
;class	 course	 positive	Class is of course not that easy, and there are always at least 500 students, but it is all worthwhile.
;reading;paper	 course course	 positive positive	Before taking Mr. Everett's class, I couldn't stand reading and I couldn't write a decent paper.
;teacher	 teacher	 positive	this teacher is the best!!
;classroom setting	 class	 positive	There isn't a lot of work and the classroom setting is really relaxed and comfortable.
;teacher	 teacher	 positive	Molumby is a really fun teacher!
;grades	 grading	 neutral	grades are only based on quizzes and tests.
;textbook;lectures;angel	 teaching teaching teaching	 negative positive positive	dont buy the textbook and download the lectures on angel.
;null	 teacher	 positive	Love her so much.
;gpa	 grading	 neutral	If you wanna learn, take him, if u wanna boost ur gpa, go w/ another.
;student	 approachable	 positive	He relates to each student personally as well.
;exam	 exam	 negative	SOME QUESTIONS IN THE EXAM ARE REALLY NOT MEASURING WHAT IT NEEDS TO.
;lecture	 teaching	 positive	I love Molumby, he was hilarious and I came to every lecture (I skip all my other lectures).
;null	 teacher	 negative	I highly recommend avoiding him if possible.
;lecture	 teaching	 negative	Make sure you're well-rested before you come to class, because it's the typical lecture and you might fall asleep otherwise.
;literature	 teaching	 negative	He covers a ton load of literature, so get ready to read.
;class	 teaching	 positive	He covers everything you need to succeed in his class (even stuff you should already know).
;newman cafe;morning	 approachable approachable	 positive positive	Impossible to do poorly since you can meet him at Newman Cafe almost any morning and eat/chat with him.
;null	 teaching	 negative	Dull, dull, dull.
;prof	 teacher	 negative	Cook is a really bad prof.
;material	 teaching	 positive	Just study the material.
;problems;equations	 teaching teaching	 negative negative	He never solved problems completely out and he'd derive some equations and confuse you so much.
;teach	 teaching	 negative	Cook is a really sweet and funny old man but certainly doesn't know how to teach.
;students;school	 teacher teacher	 negative negative	Incredibly condescending to students and the school in general.
;readings;test;notes	 exam exam teaching	 negative negative negative	Assigned readings are barely even covered on the test and the notes in class are quite confusing.
;a	 grading	 neutral	She's a little disorganized but her class is an easy A as long as you do the work and go to class.
;exam questions	 exam	 negative	Exam questions were pretty hard too.
;quiz;notemouth;test	 exam exam exam	 negative negative negative	There is a quiz every Friday: can vary from open notemouth to strictly test testing.
;stories	 knowledge	 positive	Very funny and she knows what she's talking about based on her stories of experience.
;problems;board	 teaching teaching	 negative negative	He doesn't complete problems he starts on the board and gets confused half way through them.
;participation	 answering	 positive	He uses the iClicker for participation too.
;student	 teaching	 positive	Makes the average college student actually want to go to class.
;professor	 teacher	 positive	I think she is definitely the best professor I've had at UWG so far.
;null	 knowledge	 negative	everyone in his class is smarter than he is, he always makes mistakes.How did he EVER get his PhD? PLEASE GET FIRED!!
;teacher	 teacher	 negative	Worst teacher I have ever had.
;question	 answering	 negative	He WILL keep you to the end of the class and ramble a bit when trying to answer a question, though.
;criminal justice system	 teacher	 positive	She is amazing and is very passionate about the criminal justice system.
;quizzes	 exam	 neutral	Quizzes every week (sometimes open note).
;professor	 teacher	 positive	This is the professor to take if you are or want to remain excited in the field of sociology or criminology.
;final grade	 grading	 negative	Even if you work hard, your final grade is left to luck.
;null;teaching;instructor	 knowledge teaching teacher	 positive positive positive	He's a great instructor and while a bit eccentric, he's knowledgeable, helpful, and cares about teaching.
;null	 teaching	 negative	As a bio major, I was utterly annoyed and distracted by the way this man teaches this class.
;discussions	 answering	 positive	Truly engages the class in meaningful discussions and she cares about her students...I've taken this teacher twice for a reason, she is one of MSU's finest.
;tutoring places;lecture	 approachable teaching	 negative negative	I got more help at the tutoring places than going to lecture all semester.
;professor	 teacher	 positive	Very friendly and helpful, I enjoy having him as my professor.
;class	 course	 negative	Class was way too hard for what it was.
;professor	 teacher	 positive	Dr. Hora is an excellent professor who truly cares about politics and students.
;class	 course	 positive	Easy Class.
;multiple choice;questions	 exam exam	 negative negative	Exams are all multiple choice and the questions are very tricky.
;labs;lab reports	 course exam	 positive negative	Labs were easy, but lab reports kind of annoying for this class.
